easting,northing,Name,Core,sample,transect,strike,dip,Rake1,Strike2,Dip2,Rake2,Strike3,Dip3,Rake3,Strike4,Dip4,Rake4,X1,X2,X3,X4,qtz,picture,notes,xz_strike,xz_dip,yz_strike,yz_dip
120.1142712,-20.98349939,AME16_002,1,0,0,352,72,N/A,3,77,,,,,,,,0.84,2.04,1.08,1.84,,,,,,,
120.1079475,-20.98714242,AME16_003,1,0,0,124,76,N/A,142,77,,,,,,,,0.62,0.76,1.95,0.61,,,,,,,
120.0990632,-20.98671452,AME16_004,1,0,0,5,76,N/A,26,76,,,,,,,,0.46,0.55,0.31,0.97,,,,,,,
120.0746278,-21.42959635,AME16_005,0,0,0,110,84,94,,,,,,,,,,,,,,,phone,well_foliated_schist_w_strong_lineation_defined_by_corrugations_in_mica,,,,
120.0742319,-21.42661859,AME16_006,0,0,0,134,68,94,,,,,,,,,,,,,,,,,,,,
120.0743956,-21.42650653,AME16_006_Sam,0,1,0,134,68,94,,,,,,,,,,,,,,,,may_show_domes-side-down_SOS,226,86,325,22
120.0747718,-21.4265315,AME16_006B,0,1,0,91,73,93,,,,,,,,,,,,,,,,qtz_vein_samples_for_paleopeizometry,182,87,281,17
120.0707287,-21.41955483,AME16_007,0,1,0,124,63,106,,,,,,,,,,,,,,,,,221,76,336,31
119.808421,-21.16907624,AME16_009,0,1,0,158,50,80,159,41,87,166,46,N/A,,,,,,,,,phone,"dome-side_down_SOS,_granite/amphibolite_contact",62,82,323,41
119.80816,-21.16922,AME16_010,0,1,0,179,55,77,,,,,,,,,,,,,,,,,,,,
119.8214249,-21.16227466,AME16_011,0,0,0,235,58,44,222,61,N/A,,,,,,,,,,,,,,,,,
119.8155735,-21.16513741,AME16_012,0,0,0,159,25,77,,,,,,,,,,,,,,,,,,,,
119.9387383,-21.18224354,AME16_013,0,0,0,240,80,N/A,46,65,,223,44,,,,,,,,,,,,,,,
