f,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,assocRake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleName,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
874,Ame18fieldstation-569,Point,119.9624373,-21.36206193,20 cm thick chert bed_ discontinuous and disappears along strike. Slightly banded.,131,70,227,70,92,,,bedding,,,,,,,,AME18_235,131 70,15307539363560.jpg,,,,,,,,,
10,1.52583E+13,Point,119.9440532,-21.34735427,,286,86,,,,,,,,,,,,,,AME18_001,Fabric 286 86,,,,,,,,,,
8,1.52583E+13,Point,119.9437894,-21.34722391,Finely spaced cleavage s surfaces_ possibly garnet bearing ( weather out pits at the surface.  C surfaces spaced at about 30 cm. Sampled for garnets.,265,87,,,82,,,foliation,s_plane,,,,,,,AME18_002,,15258268757244.jpg,,,,,,,,,
11,1.52583E+13,Point,119.9434698,-21.34754187,Quartz vein in strong felsic fabric. Vein is assymmetrically folded and strongly lineated parallel to hinge. Shows right lateral sos.,286,86,,,77,,,vein,,fold,z_fold,275,72,295,84,AME18_003 b,286 82 n,15258291700003.jpg,,,,,,,,,
12,1.52583E+13,Point,119.9434698,-21.34754187,Quartz vein in strong felsic fabric. Vein is assymmetrically folded and strongly lineated parallel to hinge. Shows right lateral sos.,286,82,,,75,,,vein,,,,,,,,AME18_003 b,286 82 n,15258291700003.jpg,,,,,,,,,
161,Ame18fieldstation-95,Point,119.9658673,-21.37189485,Felsic_ finely lamited muscovite schist_ with booudined and folded quartz veins and a strong nearly downdip crenulation defines by muscovite.,146,51,,,105,,,foliation,schistosity,fold,,241,43,115,43,AME18_047,H n,15271261948390.jpg,15271258253198.jpg,,,,,,,,
202,Ame18fieldstation-118,Point,119.9439229,-21.35160862,Granitic dike intruding duffer formation basalt subparallel to bedding. Meta basalt shave reverse sense kink bands.,112,67,,,114,,,,,,,,,,,AME18_054,112 67,15272068833857.jpg,15272067123911.jpg,15272065602559.jpg,15272065315275.jpg,,,,,,
211,Ame18fieldstation-121,Point,119.9449517,-21.35274732,Very small zone of large garnets found west of the river. Rock is a finely lamited felsic muscovite schist.,120,83,281,69,110,,,foliation,schistosity,,,,,,,AME18_056,120 83,15272123591750.jpg,15272123457998.jpg,,,,,,,,
235,Ame18fieldstation-132,Point,119.9459288,-21.34853563,Garnets in River polished pavement .,119,75,,,92,,,,,,,,,,,AME18_060 a,H n,15272319229908.jpg,15272318814201.jpg,15272308614708.jpg,15272308286997.jpg,,,,,,
239,Ame18fieldstation-133,Point,119.9178261,-21.33871737,Vesicular volcanic with infilled calcite_ and perhaps garnet.,304,84,,,75,,,,,,,,,,,AME18_061a,292 80 overturned,15272927694031.jpg,,,,,,,,,
240,Ame18fieldstation-133,Point,119.9178261,-21.33871737,Vesicular volcanic with infilled calcite_ and perhaps garnet.,292,80,,,77,,,,,,,,,,,AME18_061a,292 80 overturned,15272927694031.jpg,,,,,,,,,
241,Ame18fieldstation-134,Point,119.9180111,-21.33875493,JusT a few meters to the east of the last station_ a highly altered rock filled with golf sized modules that look like garnet.,286,89,,,,,,,,,,,,,,AME18_062a,286 89 overturned.,,,,,,,,,,
242,Ame18fieldstation-134,Point,119.9180111,-21.33875493,JusT a few meters to the east of the last station_ a highly altered rock filled with golf sized modules that look like garnet.,124,69,,,,,,,,,,,,,,AME18_062a,286 89 overturned.,,,,,,,,,,
244,Ame18fieldstation-135,Point,119.9139806,-21.34094695,Felsic muscovite schist with small porphyroclasts_ has some resembled to garnet.,286,77,338,74,80,,,,,,,,,,,AME18_063,286 77,15273006698758.jpg,15273006176227.jpg,,,,,,,,
246,Ame18fieldstation-136,Point,119.9134625,-21.3432048,Schisty chert bed about three meters thick.,265,80,,,64,,,,,,,,,,,AME18_064,265 80,15273024731567.jpg,,,,,,,,,
247,Ame18fieldstation-137,Point,119.9134416,-21.34322083,Just north of the chert_ an L>>S tectonite with garnet porphyroclasts_ some of which may record brittle boudige with quartz vein infill.,257,80,,,60,,,,,,,,,,,AME18_065a,257 80,15273043462968.jpg,15273042115835.jpg,15273038763868.jpg,15273029384060.jpg,,,,,,
256,Ame18fieldstation-141,Point,119.9205272,-21.3314095,Well within the granitoid of the mt Edgar. Sampling a medium grained granitic gneiss with a clear reverse sense of shear (a) and a fine grained granitic rock for geochemistry. (B).,106,65,,,110,,,,,,,,,,,AME18_068a,Face (slightly shallower than foliation 105 60,15273162087682.jpg,,,,,,,,,
257,Ame18fieldstation-141,Point,119.9205272,-21.3314095,Well within the granitoid of the mt Edgar. Sampling a medium grained granitic gneiss with a clear reverse sense of shear (a) and a fine grained granitic rock for geochemistry. (B).,130,74,,,,,,,,,,,,,,AME18_068a,Face (slightly shallower than foliation 105 60,15273162087682.jpg,,,,,,,,,
258,Ame18fieldstation-142,Point,119.9195154,-21.33283248,L tectonite schistos paragneiss.,115,72,,,95,,,,,,,,,,,AME18_069,115 72,15273181985185.jpg,,,,,,,,,
261,Ame18fieldstation-145,Point,119.8911931,-21.32128562,Quartzofeldspathic schist_ sampled as a representative of what most of the rocked are walking over looks like.,117,80,,,110,,,,,,,,,,,AME18_070,117 80,15273781409597.jpg,,,,,,,,,
265,Ame18fieldstation-148,Point,119.8952973,-21.31335882,Orthogneiss rich in amphiboles. Feldspars recrystallized and small.,139,68,,,,,,,,,,,,,,AME18_071,139 68,15273812992767.jpg,15273812770398.jpg,,,,,,,,
267,Ame18fieldstation-149,Point,119.8974258,-21.3115601,A series of granitic rocks exposed along the riverbank. Massive_ gneissic granitoid sampled by Ross for geochemistry. I sampled a more intensely sheared gneiss zone. Both are L>>S tectonites.,170,70,,,90,,,,,,,,,,,AME18_072b,,15273843789970.jpg,15273842705721.jpg,15273840156349.jpg,,,,,,,
275,Ame18fieldstation-155,Point,119.9025872,-21.30882673,Crappy outcrop of fine grained orthogneiss. Foliation parallel sheared pegmatite is common_ about 4 cm thick. Granite may show reverse sense of shear.,125,50,,,102,,,,,,,,,,,AME18_073,125 50,15273877957201.jpg,,,,,,,,,
279,Ame18fieldstation-158,Point,119.8872179,-21.32938978,Top of warrawoo peak_ sampling the lumpy deformed quartz-porpyroblast/clast rich rock that we have been seeing all the time in float. It is very competent_ but breaks apart chalky. The outcrop is a bit rubble_ and it can be hard to tell what is in place. Both samples are close to in place_ probably sample b is better than sample a. Sample c may be the most in place.,126,84,,,120,,,,,,,,,,,AME18_074a,126 73 overturned face,15274064036983.jpg,15274063695599.jpg,,,,,,,,
280,Ame18fieldstation-158,Point,119.8872179,-21.32938978,Top of warrawoo peak_ sampling the lumpy deformed quartz-porpyroblast/clast rich rock that we have been seeing all the time in float. It is very competent_ but breaks apart chalky. The outcrop is a bit rubble_ and it can be hard to tell what is in place. Both samples are close to in place_ probably sample b is better than sample a. Sample c may be the most in place.,126,73,,,100,,,,,,,,,,,AME18_074a,126 73 overturned face,15274064036983.jpg,15274063695599.jpg,,,,,,,,
281,Ame18fieldstation-158,Point,119.8872179,-21.32938978,Top of warrawoo peak_ sampling the lumpy deformed quartz-porpyroblast/clast rich rock that we have been seeing all the time in float. It is very competent_ but breaks apart chalky. The outcrop is a bit rubble_ and it can be hard to tell what is in place. Both samples are close to in place_ probably sample b is better than sample a. Sample c may be the most in place.,115,86,,,,,,,,,,,,,,AME18_074a,126 73 overturned face,15274064036983.jpg,15274063695599.jpg,,,,,,,,
282,Ame18fieldstation-159,Point,119.888558,-21.32824297,Assymmetrical folds of quartz in th quartzofeldspathic schist unit. Hinge parallel to stretching lineation.,131,72,,,105,,,,,,,,,,,AME18_075a and b,H n and on face.,15274089134348.jpg,15274086485791.jpg,15274086260704.jpg,,,,,,,
286,Ame18fieldstation-161,Point,119.9041752,-21.32256878,Augean gneiss with clear assymetery. My best guess is reverse sense of shear_ though cuts parallel to the lineation are not common.,129,60,,,68,,,,,,,,,,,AME18_076a,129 60,15274698125601.jpg,15274696960923.jpg,,,,,,,,
290,Ame18fieldstation-163,Point,119.9022336,-21.32659745,Quartzofeldspathic schist of the duffer_ with small quartz or feldspar porphyroclasts.,130,81,,,108,,,,,,,,,,,AME18_078,130 81,15274750330552.jpg,15274749957595.jpg,,,,,,,,
292,Ame18fieldstation-164,Point,119.9887995,-21.39717762,"Corun downs gneiss earth_ highly deformed with s-c fabric that shows a predomintly sinistral shear sense_ even though lineation points nearly down dip. Transpression?

It seems like there is an older strike slip fabric or fabrics_ and then on the S planes_ there is a stretching lineation subperpendicular to the sliding direction on the biotite s surfaces. 

There are also areas with dextral motion_ including offset aplite dikes. These dikes are dextrally offset even along strike of the area with the most clear sinistral sc and porphyroclasts fabrics. Interesting. Did a full set of photos to create a stitched together outcrop image.",98,80,252,68,110,,,foliation,gneissic_folia,,,,,,,AME18_079 geochemistry,,15276551820338.jpg,15276484208948.jpg,,,,,,,,
297,Ame18fieldstation-166,Point,119.9952607,-21.3867945,Found another garnet locality. Quartzofeldspathic schist with sparse garnet porphyroclasts and quartz tails. Garnets are about pea sized. In regularly alterting felsic and mafic schists at the meter scale.,122,78,226,78,93,,,foliation,schistosity,,,,,,,AME18_080,122 78,15276661480674.jpg,15276660874125.jpg,15276660529371.jpg,,,,,,,
300,Ame18fieldstation-167,Point,119.9950775,-21.38817278,Bedding parallel gneissic unit_ one of a few in the area that are abou 2 m wide. Lineation defines by smeared biotite books. Did not remember to get coordites_ so coordites are approximate_ selected from map.,304,85,328,78,79,,,foliation,gneissic_folia,,,,,,,AME18_081 geochemistry,,15276675421124.jpg,15276674561279.jpg,,,,,,,,
302,Ame18fieldstation-168,Point,119.9947036,-21.3897847,Garnet locality in a biotite quartzofeldspathic schist. Small 1 mm garnets.,291,83,98,61,118,,,foliation,gneissic_folia,,,,,,,AME18_082,H n_ orientation at sample location recordedv,15276687026608.jpg,,,,,,,,,
307,Ame18fieldstation-170,Point,119.9918137,-21.3942731,,90,62,,,60,,,,,fold,s_fold,106,30,,,AME18_083,,15277269340288.jpg,15277268937675.jpg,,,,,,,,
316,Ame18fieldstation-174,Point,119.9918266,-21.39429047,Meter thick chert bed folded in two ways. 1 small steeply plunging folds. 2 large horizontal asymmetric folds,112,73,,,,,,bedding,,fold,,249,48,,,AME18_084a,,15277304782954.jpg,,,,,,,,,
322,Ame18fieldstation-178,Point,119.9918073,-21.39428106,Magnetite crystals define lineation.,120,88,,,44,,,,,,,,,,,AME18_085,,15277337880815.jpg,,,,,,,,,
328,Ame18fieldstation-181,Point,119.9404723,-21.36368263,Chert bed. Stretching Lin.,307,76,,,98,,,,,,,,,,,AME18_087,307 76,15277488373861.jpg,,,,,,,,,
329,Ame18fieldstation-182,Point,119.9386073,-21.36799155,Chert bed at the southern end of the euro basalt_ shortly before we entered Corun downs granitoids. The chert bed is about 4 meters wide_ and comprises the the spine of the ridge that is parallel to the belt.,120,83,,,88,,,,,,,,,,,AME18_088,Chert bedding 120 83 overturned face.,,,,,,,,,,
332,Ame18fieldstation-185,Point,119.841805,-21.34234136,In the euro basalt_ right at the margin of the Corun downs granitic complex. Metabasalt is massive in most places_ but the fracture pattern clues me in to the presence of a weak fabric.,49,64,,,126,,,foliation,,,,,,,,AME18_091,049 64,,,,,,,,,,
335,Ame18fieldstation-188,Point,119.839527,-21.33443135,Coherent mafic schist_,82,67,,,104,,,foliation,schistosity,,,,,,,AME18_092 geochemistry,,15278173756704.jpg,15278171660634.jpg,15278171430151.jpg,,,,,,,
334,Ame18fieldstation-187,Point,119.8395419,-21.33443447,Strongly foliated and lineated chert bed_ about 0.5 meters thick.,88,75,,,89,,,,,,,,,,,AME18_093,088 75,15278163150013.jpg,,,,,,,,,
338,Ame18fieldstation-189,Point,119.8413897,-21.32958157,Chert bed_ 1 m wide and strongly lineated. Possibly L tectonite.,104,84,,,95,,,bedding,,,,,,,,AME18_094,104 84,15278190197741.jpg,15278190069509.jpg,,,,,,,,
340,Ame18fieldstation-192,Point,119.8413332,-21.32531538,The so called “zone of sinking”. Quartzofeldspathic schist L>>S tectonite.,41,81,,,70,,,foliation,,,,,,,,AME18_095,041 81,15278206586772.jpg,,,,,,,,,
342,Ame18fieldstation-194,Point,119.8394029,-21.32369322,Chert bed 2 m wide_ all veined up.,284,75,,,95,,,bedding,,,,,,,,AME18_096,284 75,15278221785327.jpg,,,,,,,,,
344,Ame18fieldstation-196,Point,119.8453029,-21.31833304,Chert bed in the chlorite schist zine of sinking.,93,81,,,84,,,bedding,,,,,,,,AME18_098,093 81,,,,,,,,,,
346,Ame18fieldstation-198,Point,119.8453109,-21.31821745,Schist with large porphyroclasts_ not sure what it is. In zone of sinking.,262,70,,,100,,,bedding,,,,,,,,AME18_099 geochemistry,,15278265034838.jpg,,,,,,,,,
345,Ame18fieldstation-197,Point,119.8454207,-21.31818485,Another chert bed,86,85,,,91,,,bedding,,,,,,,,AME18_100,086 85,15278249820662.jpg,,,,,,,,,
349,Ame18fieldstation-200,Point,119.8524898,-21.31122295,Chert bed_ 3 meters thick and strongly lineated.,303,87,,,100,,,bedding,,,,,,,,AME18_102,303 87,15278324728876.jpg,,,,,,,,,
350,Ame18fieldstation-201,Point,119.855117,-21.30997405,Marble bar chert member ? More than30 m thick.,322,66,,,89,,,bedding,,,,,,,,AME18_103,322 66,15278336051810.jpg,15278333621575.jpg,,,,,,,,
352,Ame18fieldstation-202,Point,119.8600474,-21.3094111,Chert bed_ 3 m wide,311,76,,,94,,,bedding,,,,,,,,AME18_104,311 76 overturned face.,15278356713751.jpg,,,,,,,,,
353,Ame18fieldstation-203,Point,119.9140251,-21.31878463,2 AMS samples c like red on a granite oavement. One is a medium grauned gneiss_ the other a fine grained gneiss. About 10 m apart.,122,59,,,,,,foliation,gneissic_folia,,,,,,,AME18_104 a,H n,15279039478070.jpg,,,,,,,,,
354,Ame18fieldstation-203,Point,119.9140251,-21.31878463,2 AMS samples c like red on a granite oavement. One is a medium grauned gneiss_ the other a fine grained gneiss. About 10 m apart.,120,65,,,,,,foliation,gneissic_folia,,,,,,,AME18_104 a,H n,15279039478070.jpg,,,,,,,,,
358,Ame18fieldstation-206,Point,119.9095105,-21.32683811,Very stripy biotite gneiss. Just north of where we camped for the night.,115,59,,,115,,,,,,,,,,,AME18_105a,115 59,15279075880565.jpg,15279074350036.jpg,15279073902075.jpg,,,,,,,
