Name,Ms,Mrs,Hc,Hcr,Group
AME16_099,1.15E-05,3.14E-07,5.61E-03,3.09E-02,1.00E+00
AME16_057,2.90E-06,2.78E-08,6.05E-03,1.10E-01,1.00E+00
AME18_015,6.07E-06,3.47E-08,1.65E-03,3.35E-03,1.00E+00
AME18_114,8.86E-05,1.73E-06,3.11E-03,2.95E-02,1.00E+00
AME18_129,9.83E-06,1.94E-07,3.87E-03,2.45E-02,1.00E+00
AME16_003,4.55E-02,8.38E-04,2.52E+00,2.19E+01,2.00E+00
AME16_029,3.93E-03,1.02E-04,6.60E+00,3.40E+01,2.00E+00
AME16_035,5.60E-02,8.08E-04,2.51E+00,3.01E+01,2.00E+00
AME16_078,2.73E-04,8.02E-06,3.38E+00,0.00E+00,2.00E+00
AME16_083,6.16E-02,2.79E-03,7.08E+00,3.90E+01,2.00E+00
AME16_086,5.55E-02,9.64E-04,2.89E+00,2.85E+01,2.00E+00
AME16_090,1.40E-01,2.45E-03,3.01E+00,2.94E+01,2.00E+00
AME16_091,1.98E-01,6.80E-03,5.43E+00,3.15E+01,2.00E+00
AME16_094,6.99E-02,1.99E-03,3.98E+00,2.74E+01,2.00E+00
AME16_097,2.41E-02,7.85E-04,4.84E+00,2.69E+01,2.00E+00
AME16_104,9.79E-04,2.74E-05,4.00E+00,3.93E+01,2.00E+00
AME16_110,2.90E-01,6.00E-03,3.04E+00,2.52E+01,2.00E+00
AME16_112,1.77E-01,3.39E-03,2.68E+00,2.25E+01,2.00E+00
AME16_113,1.00E-01,2.43E-03,3.73E+00,2.71E+01,2.00E+00
AME16_113,9.73E-02,2.47E-03,3.78E+00,2.71E+01,2.00E+00
AME16_137,1.07E-03,1.06E-04,1.16E+01,3.63E+01,2.00E+00
AME16_142,7.31E-04,3.83E-06,3.44E+00,3.75E+01,2.00E+00
AME16_144,4.12E-02,5.95E-04,2.21E+00,2.36E+01,2.00E+00
AME16_145,1.74E-01,2.99E-03,2.36E+00,2.27E+01,2.00E+00
AME16_156,8.19E-05,1.65E-05,1.50E+01,3.59E+01,2.00E+00
AME16_159,5.94E-05,6.33E-06,-1.01E+01,2.39E+02,2.00E+00
AME16_162,3.91E-02,6.64E-04,2.72E+00,2.69E+01,2.00E+00
AME16_166,7.39E-02,1.64E-03,3.19E+00,2.62E+01,2.00E+00
AME16_169,2.26E-01,5.48E-03,3.11E+00,2.26E+01,2.00E+00
AME16_192,1.49E-01,5.21E-03,5.30E+00,3.26E+01,2.00E+00
AME16_211,5.49E-02,9.77E-04,2.75E+00,2.50E+01,2.00E+00
