wkt_geom,station,easting,northing,strike,dip,trend,plunge,lodes,oct,Km
Point (119.92585499999999854 -21.31325999999999965),AME18_017,119.925855,-21.31326,113.0607464,42.52861352,262.8464238,24.77773376,-0.102465673,0.173232316,-2.402485436
Point (119.92653599999999869 -21.30531099999999967),AME18_018,119.926536,-21.305311,269.5547967,87.16852955,272.9734063,50.3270423,0.376541552,0.110149366,-3.118221016
Point (119.97384099999999307 -21.3184180000000012),AME18_114,119.973841,-21.318418,293.939767,41.7549121,1.993870452,39.6248062,0.238862734,0.095165608,-1.74809792
Point (120.01413300000000106 -21.31974400000000003),AME18_116,120.014133,-21.319744,288.1004171,57.16028692,358.5620571,55.59377005,0.693715852,0.137803264,-2.333567774
Point (120.00593200000000138 -21.31998300000000057),AME18_117,120.005932,-21.319983,280.9456471,70.03003141,322.5848055,61.32601009,0.640682556,0.072349899,-2.650995874
Point (119.99935299999999927 -21.31863799999999998),AME18_118,119.999353,-21.318638,291.0979269,44.30415564,353.9784804,40.98076135,0.734271641,0.09579718,-2.450793814
Point (120.02696459999999945 -21.31766852000000156),AME16_093,120.0269646,-21.31766852,290.1324241,62.69373302,318.905298,42.99422002,0.300316469,0.137171821,-2.382786131
Point (120.04227810000000432 -21.33940514000000022),AME16_094,120.0422781,-21.33940514,310.3149036,56.7514233,350.5864011,44.59590489,0.599816013,0.068972343,-2.782425653
Point (120.07031270000000234 -21.37738170000000082),AME16_095,120.0703127,-21.3773817,317.8358583,73.10599891,0.429584957,65.83205679,0.207214932,0.05156799,-3.464400082
Point (120.07461360000000639 -21.39920399000000018),AME16_096,120.0746136,-21.39920399,117.3808954,77.48137715,188.3181208,76.77988473,0.214017657,0.191658523,-2.148120541
Point (120.06055979999999295 -21.35401715000000067),AME16_097,120.0605598,-21.35401715,324.7443699,54.77074951,27.5724869,51.55782731,0.267584642,0.217879156,-2.643804221
Point (119.94808519999999419 -21.31836052999999964),AME16_140,119.9480852,-21.31836053,254.1167511,72.92530712,290.0684287,62.38261618,0.562666329,0.094148927,-3.812675532
