Field,Moment,MomentParasub
1000.237,0.025843632,9.49349E-05
999.6199,0.025777578,4.47666E-05
997.1715,0.025767231,9.74485E-05
994.7683,0.025737507,0.000129588
992.5131,0.025692954,0.000143091
990.3933,0.025642781,0.000147486
988.3363,0.025593904,0.000151562
986.2927,0.025545958,0.000156223
984.2798,0.025496715,0.000158798
982.2595,0.025447447,0.000161537
980.2617,0.02540185,0.000167369
978.2646,0.025353417,0.000170346
976.2532,0.02530454,0.000173248
974.2537,0.025253505,0.000173685
972.2539,0.025201312,0.000172973
970.2423,0.025145639,0.000169084
968.2444,0.025090445,0.00016532
966.2324,0.025037887,0.000164557
964.2386,0.024985677,0.000163673
962.2366,0.024938601,0.000168133
960.2417,0.024890812,0.000171698
958.2433,0.024839847,0.000172177
956.2333,0.024786714,0.000170787
954.237,0.02473594,0.000171403
952.2371,0.024685436,0.000172381
950.2248,0.024631486,0.000170233
948.231,0.024580068,0.000170141
946.2436,0.02452912,0.000170353
944.2365,0.024476614,0.000169516
942.2419,0.024424831,0.000169079
940.2471,0.024373204,0.000168803
938.2395,0.024320298,0.000167578
936.244,0.024269742,0.000168391
934.2495,0.024219185,0.000169178
932.2429,0.024168759,0.000170407
930.2536,0.024117846,0.000170704
928.2454,0.024064462,0.000169015
926.2495,0.024013148,0.000169082
924.2514,0.023963062,0.000170431
922.252,0.023912505,0.000171345
920.2509,0.023864228,0.000174581
918.2376,0.023814969,0.000177149
916.2402,0.023765265,0.000178864
914.2464,0.023712411,0.000177336
912.2508,0.02366195,0.000178247
910.2529,0.023610063,0.00017779
908.2412,0.023557313,0.000176827
906.2437,0.023505582,0.000176517
904.2463,0.023452772,0.000175125
902.2382,0.02340433,0.000178377
900.2433,0.023353147,0.000178548
898.2513,0.023299919,0.000176599
896.2613,0.023247988,0.000175895
894.2497,0.023192428,0.000172119
892.2503,0.023142411,0.000173572
890.2528,0.023095692,0.000178274
888.2444,0.023042864,0.000177148
886.2565,0.022988079,0.000173536
884.2533,0.022935112,0.000172137
882.2588,0.022884599,0.000172967
880.2502,0.022833834,0.000173909
878.2529,0.022782494,0.000173985
876.2546,0.022734435,0.000177367
874.2451,0.022686498,0.000181159
872.2453,0.022637238,0.00018338
870.2524,0.022585402,0.000182846
868.255,0.022531678,0.000180541
866.2431,0.022480643,0.000181297
864.2436,0.022428642,0.000180769
862.2465,0.02237873,0.000182267
860.2482,0.022331906,0.000186885
858.2498,0.022281402,0.000187824
856.2512,0.022230245,0.000188117
854.2545,0.022178183,0.000187455
852.2553,0.022125843,0.000186579
850.2584,0.022073442,0.000185583
848.2618,0.022022859,0.000186398
846.2632,0.021972381,0.000187369
844.2478,0.021919075,0.000185945
842.2518,0.021866604,0.000184856
840.2529,0.02181429,0.000183999
838.2552,0.021762506,0.000183642
836.2627,0.021707947,0.000180374
834.2704,0.021656225,0.000179939
832.2573,0.021608296,0.000183833
830.2572,0.021558636,0.00018566
828.2602,0.02150821,0.000186642
826.2629,0.021458176,0.000188024
824.2521,0.021404243,0.000185854
822.2446,0.021354235,0.000187524
820.2066,0.021307394,0.000193147
818.192,0.021258186,0.0001958
816.1879,0.021207838,0.000197043
814.1762,0.021152966,0.000193957
812.1772,0.021101522,0.000193972
810.1813,0.021052601,0.000196432
808.1765,0.021001488,0.000196927
806.1892,0.020947686,0.000194283
804.1935,0.020892256,0.000190228
802.1963,0.020837967,0.000187352
800.1966,0.020788655,0.000189517
798.1818,0.020738011,0.00019074
796.1788,0.020687263,0.000191554
794.1809,0.020635558,0.00019128
792.1847,0.020583105,0.000190214
790.1903,0.020533767,0.000192217
788.1927,0.020482836,0.00019271
786.195,0.020431314,0.000192614
