Field,Moment
-4.97E-05,-4.03E-08
3.01E-03,1.43E-06
6.02E-03,2.97E-06
9.02E-03,4.53E-06
1.20E-02,6.11E-06
1.50E-02,7.69E-06
1.80E-02,9.28E-06
2.10E-02,1.09E-05
2.40E-02,1.24E-05
2.71E-02,1.40E-05
3.00E-02,1.56E-05
3.30E-02,1.71E-05
3.60E-02,1.86E-05
3.91E-02,2.02E-05
4.20E-02,2.17E-05
4.51E-02,2.32E-05
4.81E-02,2.46E-05
5.11E-02,2.61E-05
5.41E-02,2.75E-05
5.71E-02,2.89E-05
6.01E-02,3.03E-05
6.31E-02,3.17E-05
6.61E-02,3.31E-05
6.91E-02,3.44E-05
7.21E-02,3.57E-05
7.51E-02,3.71E-05
7.81E-02,3.84E-05
8.11E-02,3.96E-05
8.41E-02,4.09E-05
8.71E-02,4.21E-05
9.01E-02,4.34E-05
9.31E-02,4.46E-05
9.61E-02,4.58E-05
9.91E-02,4.69E-05
1.02E-01,4.81E-05
1.05E-01,4.93E-05
1.08E-01,5.03E-05
1.11E-01,5.15E-05
1.14E-01,5.24E-05
1.17E-01,5.37E-05
1.20E-01,5.47E-05
1.23E-01,5.57E-05
1.26E-01,5.67E-05
1.29E-01,5.77E-05
1.32E-01,5.87E-05
1.35E-01,5.96E-05
1.38E-01,6.05E-05
1.41E-01,6.15E-05
1.44E-01,6.24E-05
1.47E-01,6.30E-05
1.50E-01,6.42E-05
1.53E-01,6.50E-05
1.56E-01,6.57E-05
1.59E-01,6.65E-05
1.62E-01,6.73E-05
1.65E-01,6.80E-05
1.68E-01,6.87E-05
1.71E-01,6.95E-05
1.74E-01,7.02E-05
1.77E-01,7.08E-05
1.80E-01,7.14E-05
1.83E-01,7.21E-05
1.86E-01,7.27E-05
1.89E-01,7.32E-05
1.92E-01,7.38E-05
1.95E-01,7.43E-05
1.98E-01,7.49E-05
2.01E-01,7.53E-05
2.04E-01,7.58E-05
2.07E-01,7.62E-05
2.10E-01,7.60E-05
2.13E-01,7.84E-05
2.16E-01,7.80E-05
2.19E-01,7.77E-05
2.22E-01,7.80E-05
2.25E-01,7.84E-05
2.28E-01,7.88E-05
2.31E-01,7.91E-05
2.34E-01,7.94E-05
2.37E-01,7.97E-05
2.40E-01,8.01E-05
2.43E-01,8.04E-05
2.46E-01,8.06E-05
2.49E-01,8.09E-05
2.52E-01,8.11E-05
2.55E-01,8.14E-05
2.58E-01,8.16E-05
2.61E-01,8.19E-05
2.64E-01,8.21E-05
2.67E-01,8.22E-05
2.70E-01,8.24E-05
2.73E-01,8.28E-05
2.76E-01,8.29E-05
2.79E-01,8.29E-05
2.82E-01,8.31E-05
2.85E-01,8.33E-05
2.88E-01,8.35E-05
2.91E-01,8.38E-05
2.94E-01,8.38E-05
2.97E-01,8.38E-05
3.00E-01,8.42E-05
3.03E-01,8.42E-05
3.06E-01,8.44E-05
3.09E-01,8.44E-05
3.12E-01,8.46E-05
3.15E-01,8.47E-05
3.18E-01,8.48E-05
3.21E-01,8.50E-05
3.24E-01,8.50E-05
3.27E-01,8.46E-05
3.30E-01,8.57E-05
3.33E-01,8.55E-05
3.36E-01,8.54E-05
3.39E-01,8.55E-05
3.42E-01,8.56E-05
3.45E-01,8.57E-05
3.48E-01,8.58E-05
3.51E-01,8.59E-05
3.54E-01,8.60E-05
3.57E-01,8.61E-05
3.60E-01,8.61E-05
3.63E-01,8.62E-05
3.66E-01,8.63E-05
3.69E-01,8.65E-05
3.72E-01,8.55E-05
3.75E-01,8.61E-05
3.78E-01,8.68E-05
3.81E-01,8.81E-05
3.84E-01,8.69E-05
3.87E-01,8.64E-05
3.90E-01,8.70E-05
3.93E-01,8.68E-05
3.97E-01,8.68E-05
4.00E-01,8.61E-05
4.02E-01,8.75E-05
4.06E-01,8.76E-05
4.09E-01,8.72E-05
4.12E-01,8.71E-05
4.15E-01,8.72E-05
4.18E-01,8.72E-05
4.21E-01,8.73E-05
4.24E-01,8.73E-05
4.27E-01,8.75E-05
4.30E-01,8.74E-05
4.33E-01,8.76E-05
4.36E-01,8.76E-05
4.39E-01,8.75E-05
4.42E-01,8.76E-05
4.45E-01,8.77E-05
4.48E-01,8.78E-05
4.51E-01,8.74E-05
4.54E-01,8.74E-05
4.57E-01,8.77E-05
4.60E-01,8.77E-05
4.63E-01,8.79E-05
4.66E-01,8.86E-05
4.69E-01,8.89E-05
4.72E-01,8.81E-05
4.75E-01,8.80E-05
4.78E-01,8.80E-05
4.81E-01,8.81E-05
4.84E-01,8.70E-05
4.87E-01,8.44E-05
4.90E-01,8.44E-05
4.93E-01,8.51E-05
4.96E-01,8.57E-05
4.99E-01,8.62E-05
5.01E-01,8.65E-05
,
5.01E-01,8.70E-05
4.98E-01,8.72E-05
4.95E-01,8.72E-05
4.92E-01,8.72E-05
4.89E-01,8.72E-05
4.86E-01,8.72E-05
4.83E-01,8.72E-05
4.80E-01,8.72E-05
4.77E-01,8.81E-05
4.74E-01,1.02E-04
4.71E-01,9.41E-05
4.68E-01,8.94E-05
4.65E-01,8.72E-05
4.62E-01,8.66E-05
4.59E-01,8.68E-05
4.56E-01,8.49E-05
4.53E-01,8.87E-05
4.50E-01,8.78E-05
4.47E-01,8.74E-05
4.44E-01,8.72E-05
4.41E-01,8.72E-05
4.38E-01,8.70E-05
4.35E-01,8.71E-05
4.32E-01,8.72E-05
4.29E-01,8.71E-05
4.26E-01,8.70E-05
4.23E-01,8.72E-05
4.20E-01,8.70E-05
4.17E-01,8.69E-05
4.14E-01,8.68E-05
4.11E-01,8.66E-05
4.07E-01,8.69E-05
4.04E-01,8.68E-05
4.01E-01,8.67E-05
3.98E-01,8.65E-05
3.95E-01,8.65E-05
3.92E-01,8.64E-05
3.89E-01,8.66E-05
3.86E-01,8.64E-05
3.83E-01,8.63E-05
3.80E-01,8.63E-05
3.77E-01,8.65E-05
3.74E-01,8.62E-05
3.71E-01,8.61E-05
3.68E-01,8.61E-05
3.65E-01,8.60E-05
3.62E-01,8.59E-05
3.59E-01,8.57E-05
3.56E-01,8.57E-05
3.53E-01,8.57E-05
3.50E-01,8.57E-05
3.47E-01,8.56E-05
3.44E-01,8.54E-05
3.41E-01,8.53E-05
3.38E-01,8.52E-05
3.35E-01,8.50E-05
3.32E-01,8.51E-05
3.29E-01,8.49E-05
3.26E-01,8.49E-05
3.23E-01,8.47E-05
3.20E-01,8.46E-05
3.17E-01,8.46E-05
3.14E-01,8.44E-05
3.11E-01,8.43E-05
3.08E-01,8.42E-05
3.05E-01,8.40E-05
3.02E-01,8.40E-05
2.99E-01,8.37E-05
2.96E-01,8.36E-05
2.93E-01,8.35E-05
2.90E-01,8.33E-05
2.87E-01,8.32E-05
2.84E-01,8.30E-05
2.81E-01,8.28E-05
2.78E-01,8.27E-05
2.75E-01,8.26E-05
2.72E-01,8.23E-05
2.69E-01,8.21E-05
2.66E-01,8.19E-05
2.63E-01,8.17E-05
2.60E-01,8.16E-05
2.57E-01,8.14E-05
2.54E-01,8.13E-05
2.51E-01,8.09E-05
2.48E-01,8.06E-05
2.45E-01,8.03E-05
2.42E-01,8.01E-05
2.39E-01,7.99E-05
2.36E-01,7.96E-05
2.33E-01,7.93E-05
2.30E-01,7.90E-05
2.27E-01,7.86E-05
2.24E-01,7.82E-05
2.21E-01,7.80E-05
2.18E-01,7.76E-05
2.15E-01,7.72E-05
2.12E-01,7.68E-05
2.09E-01,7.64E-05
2.06E-01,7.59E-05
2.03E-01,7.56E-05
2.00E-01,7.51E-05
1.97E-01,7.46E-05
1.94E-01,7.41E-05
1.91E-01,7.36E-05
1.88E-01,7.30E-05
1.85E-01,7.24E-05
1.82E-01,7.19E-05
1.79E-01,7.13E-05
1.76E-01,7.07E-05
1.73E-01,6.99E-05
1.70E-01,6.93E-05
1.67E-01,6.85E-05
1.64E-01,6.77E-05
1.61E-01,6.58E-05
1.58E-01,6.78E-05
1.55E-01,6.53E-05
1.52E-01,6.37E-05
1.49E-01,6.09E-05
1.46E-01,6.08E-05
1.43E-01,6.04E-05
1.40E-01,6.80E-05
1.37E-01,6.57E-05
1.34E-01,6.10E-05
1.31E-01,5.83E-05
1.28E-01,5.70E-05
1.25E-01,5.60E-05
1.22E-01,5.52E-05
1.19E-01,5.43E-05
1.16E-01,5.34E-05
1.13E-01,5.25E-05
1.10E-01,5.15E-05
1.07E-01,5.04E-05
1.04E-01,4.94E-05
1.01E-01,4.83E-05
9.81E-02,4.72E-05
9.51E-02,4.61E-05
9.21E-02,4.49E-05
8.91E-02,4.37E-05
8.61E-02,4.25E-05
8.31E-02,4.14E-05
8.01E-02,4.02E-05
7.71E-02,3.89E-05
7.41E-02,3.77E-05
7.11E-02,3.64E-05
6.81E-02,3.51E-05
6.51E-02,3.38E-05
6.20E-02,3.25E-05
5.90E-02,3.12E-05
5.60E-02,2.98E-05
5.31E-02,2.85E-05
5.00E-02,2.71E-05
4.70E-02,2.57E-05
4.40E-02,2.44E-05
4.10E-02,2.29E-05
3.80E-02,2.14E-05
3.50E-02,2.00E-05
3.20E-02,1.85E-05
2.90E-02,1.71E-05
2.60E-02,1.56E-05
2.30E-02,1.41E-05
2.00E-02,1.25E-05
1.70E-02,1.09E-05
1.40E-02,9.33E-06
1.10E-02,7.73E-06
8.01E-03,6.11E-06
5.01E-03,4.45E-06
2.01E-03,2.79E-06
-1.07E-03,1.13E-06
-4.07E-03,-5.79E-07
-7.08E-03,-2.26E-06
-1.01E-02,-3.95E-06
-1.31E-02,-5.65E-06
-1.61E-02,-7.30E-06
-1.91E-02,-8.97E-06
-2.21E-02,-1.06E-05
-2.51E-02,-1.22E-05
-2.81E-02,-1.39E-05
-3.11E-02,-1.54E-05
-3.41E-02,-1.70E-05
-3.71E-02,-1.86E-05
-4.01E-02,-2.01E-05
-4.31E-02,-2.16E-05
-4.61E-02,-2.31E-05
-4.91E-02,-2.47E-05
-5.21E-02,-2.61E-05
-5.51E-02,-2.75E-05
-5.81E-02,-2.90E-05
-6.11E-02,-3.04E-05
-6.41E-02,-3.17E-05
-6.71E-02,-3.32E-05
-7.01E-02,-3.45E-05
-7.31E-02,-3.58E-05
-7.61E-02,-3.71E-05
-7.92E-02,-3.84E-05
-8.22E-02,-3.97E-05
-8.52E-02,-4.10E-05
-8.82E-02,-4.21E-05
-9.12E-02,-4.34E-05
-9.41E-02,-4.47E-05
-9.71E-02,-4.58E-05
-1.00E-01,-4.70E-05
-1.03E-01,-4.81E-05
-1.06E-01,-4.92E-05
-1.09E-01,-5.04E-05
-1.12E-01,-5.14E-05
-1.15E-01,-5.25E-05
-1.18E-01,-5.36E-05
-1.21E-01,-5.47E-05
-1.24E-01,-5.57E-05
-1.27E-01,-5.67E-05
-1.30E-01,-5.75E-05
-1.33E-01,-5.83E-05
-1.36E-01,-6.00E-05
-1.39E-01,-6.07E-05
-1.42E-01,-6.14E-05
-1.45E-01,-6.24E-05
-1.48E-01,-6.31E-05
-1.51E-01,-6.39E-05
-1.54E-01,-6.48E-05
-1.57E-01,-6.55E-05
-1.60E-01,-6.64E-05
-1.63E-01,-6.72E-05
-1.66E-01,-6.79E-05
-1.69E-01,-6.86E-05
-1.72E-01,-6.93E-05
-1.75E-01,-6.97E-05
-1.78E-01,-7.06E-05
-1.81E-01,-7.13E-05
-1.84E-01,-7.20E-05
-1.87E-01,-7.26E-05
-1.90E-01,-7.31E-05
-1.93E-01,-7.35E-05
-1.96E-01,-7.44E-05
-1.99E-01,-7.50E-05
-2.02E-01,-7.46E-05
-2.05E-01,-7.54E-05
-2.08E-01,-7.67E-05
-2.11E-01,-7.65E-05
-2.14E-01,-7.67E-05
-2.17E-01,-7.71E-05
-2.20E-01,-7.75E-05
-2.23E-01,-7.79E-05
-2.26E-01,-7.83E-05
-2.29E-01,-7.87E-05
-2.32E-01,-7.89E-05
-2.35E-01,-7.93E-05
-2.38E-01,-7.96E-05
-2.41E-01,-8.00E-05
-2.44E-01,-8.02E-05
-2.47E-01,-8.04E-05
-2.50E-01,-8.06E-05
-2.53E-01,-8.09E-05
-2.56E-01,-8.12E-05
-2.59E-01,-8.14E-05
-2.62E-01,-8.16E-05
-2.65E-01,-8.19E-05
-2.68E-01,-8.20E-05
-2.71E-01,-8.23E-05
-2.74E-01,-8.24E-05
-2.77E-01,-8.26E-05
-2.80E-01,-8.29E-05
-2.83E-01,-8.30E-05
-2.86E-01,-8.31E-05
-2.89E-01,-8.33E-05
-2.92E-01,-8.34E-05
-2.95E-01,-8.36E-05
-2.98E-01,-8.38E-05
-3.01E-01,-8.38E-05
-3.04E-01,-8.40E-05
-3.07E-01,-8.41E-05
-3.10E-01,-8.43E-05
-3.13E-01,-8.44E-05
-3.16E-01,-8.45E-05
-3.19E-01,-8.46E-05
-3.23E-01,-8.47E-05
-3.26E-01,-8.48E-05
-3.29E-01,-8.49E-05
-3.31E-01,-8.51E-05
-3.35E-01,-8.52E-05
-3.38E-01,-8.52E-05
-3.41E-01,-8.53E-05
-3.44E-01,-8.54E-05
-3.47E-01,-8.56E-05
-3.50E-01,-8.56E-05
-3.53E-01,-8.57E-05
-3.56E-01,-8.57E-05
-3.58E-01,-8.58E-05
-3.62E-01,-8.59E-05
-3.65E-01,-8.60E-05
-3.68E-01,-8.60E-05
-3.71E-01,-8.61E-05
-3.74E-01,-8.62E-05
-3.77E-01,-8.63E-05
-3.80E-01,-8.64E-05
-3.83E-01,-8.64E-05
-3.86E-01,-8.65E-05
-3.89E-01,-8.65E-05
-3.92E-01,-8.66E-05
-3.95E-01,-8.66E-05
-3.98E-01,-8.67E-05
-4.01E-01,-8.68E-05
-4.04E-01,-8.68E-05
-4.07E-01,-8.69E-05
-4.10E-01,-8.69E-05
-4.13E-01,-8.70E-05
-4.16E-01,-8.69E-05
-4.19E-01,-8.71E-05
-4.22E-01,-8.71E-05
-4.25E-01,-8.72E-05
-4.28E-01,-8.73E-05
-4.31E-01,-8.72E-05
-4.34E-01,-8.72E-05
-4.37E-01,-8.73E-05
-4.40E-01,-8.73E-05
-4.43E-01,-8.74E-05
-4.46E-01,-8.74E-05
-4.49E-01,-8.75E-05
-4.52E-01,-8.74E-05
-4.55E-01,-8.77E-05
-4.58E-01,-8.77E-05
-4.61E-01,-8.76E-05
-4.64E-01,-8.74E-05
-4.67E-01,-8.78E-05
-4.70E-01,-8.73E-05
-4.73E-01,-8.83E-05
-4.76E-01,-8.77E-05
-4.79E-01,-8.79E-05
-4.82E-01,-8.79E-05
-4.85E-01,-8.79E-05
-4.88E-01,-8.79E-05
-4.91E-01,-8.79E-05
-4.94E-01,-8.77E-05
-4.97E-01,-8.83E-05
-5.00E-01,-8.82E-05
-5.01E-01,-8.79E-05
,
-5.01E-01,-8.42E-05
-4.98E-01,-9.59E-05
-4.95E-01,-9.05E-05
-4.92E-01,-8.81E-05
-4.89E-01,-8.76E-05
-4.86E-01,-8.76E-05
-4.83E-01,-8.75E-05
-4.80E-01,-8.76E-05
-4.77E-01,-8.76E-05
-4.74E-01,-8.79E-05
-4.71E-01,-8.76E-05
-4.68E-01,-8.80E-05
-4.65E-01,-8.78E-05
-4.62E-01,-8.77E-05
-4.59E-01,-8.76E-05
-4.56E-01,-8.77E-05
-4.53E-01,-8.77E-05
-4.50E-01,-8.76E-05
-4.47E-01,-8.76E-05
-4.44E-01,-8.75E-05
-4.41E-01,-8.75E-05
-4.38E-01,-8.75E-05
-4.35E-01,-8.74E-05
-4.32E-01,-8.74E-05
-4.29E-01,-8.73E-05
-4.26E-01,-8.73E-05
-4.23E-01,-8.72E-05
-4.20E-01,-8.72E-05
-4.17E-01,-8.72E-05
-4.14E-01,-8.71E-05
-4.11E-01,-8.71E-05
-4.08E-01,-8.69E-05
-4.05E-01,-8.67E-05
-4.02E-01,-8.69E-05
-3.99E-01,-8.69E-05
-3.96E-01,-8.71E-05
-3.93E-01,-8.68E-05
-3.90E-01,-8.65E-05
-3.87E-01,-8.65E-05
-3.84E-01,-8.66E-05
-3.81E-01,-8.65E-05
-3.78E-01,-8.64E-05
-3.75E-01,-8.63E-05
-3.71E-01,-8.61E-05
-3.69E-01,-8.63E-05
-3.65E-01,-8.60E-05
-3.62E-01,-8.62E-05
-3.59E-01,-8.59E-05
-3.56E-01,-8.62E-05
-3.53E-01,-8.57E-05
-3.50E-01,-8.57E-05
-3.47E-01,-8.25E-05
-3.44E-01,-8.91E-05
-3.41E-01,-8.65E-05
-3.38E-01,-8.54E-05
-3.35E-01,-8.51E-05
-3.32E-01,-8.51E-05
-3.29E-01,-8.49E-05
-3.26E-01,-8.48E-05
-3.23E-01,-8.48E-05
-3.20E-01,-8.47E-05
-3.17E-01,-8.46E-05
-3.14E-01,-8.45E-05
-3.11E-01,-8.44E-05
-3.08E-01,-8.42E-05
-3.05E-01,-8.42E-05
-3.02E-01,-8.41E-05
-2.99E-01,-8.39E-05
-2.96E-01,-8.38E-05
-2.93E-01,-8.36E-05
-2.90E-01,-8.36E-05
-2.87E-01,-8.33E-05
-2.84E-01,-8.31E-05
-2.81E-01,-8.31E-05
-2.78E-01,-8.29E-05
-2.75E-01,-8.27E-05
-2.72E-01,-8.25E-05
-2.69E-01,-8.22E-05
-2.66E-01,-8.21E-05
-2.63E-01,-7.95E-05
-2.60E-01,-7.79E-05
-2.57E-01,-7.85E-05
-2.54E-01,-7.88E-05
-2.51E-01,-7.90E-05
-2.48E-01,-7.91E-05
-2.45E-01,-7.91E-05
-2.42E-01,-7.90E-05
-2.39E-01,-7.88E-05
-2.36E-01,-7.86E-05
-2.33E-01,-7.84E-05
-2.30E-01,-7.81E-05
-2.27E-01,-7.79E-05
-2.24E-01,-7.75E-05
-2.21E-01,-7.72E-05
-2.18E-01,-7.69E-05
-2.15E-01,-7.65E-05
-2.12E-01,-7.61E-05
-2.09E-01,-7.57E-05
-2.06E-01,-7.53E-05
-2.03E-01,-7.49E-05
-2.00E-01,-7.44E-05
-1.97E-01,-7.39E-05
-1.94E-01,-7.34E-05
-1.91E-01,-7.29E-05
-1.88E-01,-7.24E-05
-1.85E-01,-7.18E-05
-1.82E-01,-7.12E-05
-1.79E-01,-7.06E-05
-1.76E-01,-7.00E-05
-1.73E-01,-6.94E-05
-1.70E-01,-6.87E-05
-1.67E-01,-6.80E-05
-1.64E-01,-6.73E-05
-1.61E-01,-6.66E-05
-1.58E-01,-6.58E-05
-1.55E-01,-6.50E-05
-1.52E-01,-6.42E-05
-1.49E-01,-6.34E-05
-1.46E-01,-6.26E-05
-1.43E-01,-6.17E-05
-1.40E-01,-6.09E-05
-1.37E-01,-6.00E-05
-1.34E-01,-5.91E-05
-1.31E-01,-5.82E-05
-1.28E-01,-5.72E-05
-1.25E-01,-5.63E-05
-1.22E-01,-5.53E-05
-1.19E-01,-5.43E-05
-1.16E-01,-5.33E-05
-1.13E-01,-5.22E-05
-1.10E-01,-5.12E-05
-1.07E-01,-5.01E-05
-1.04E-01,-4.90E-05
-1.01E-01,-4.79E-05
-9.81E-02,-4.68E-05
-9.51E-02,-4.57E-05
-9.21E-02,-4.46E-05
-8.92E-02,-4.35E-05
-8.61E-02,-4.22E-05
-8.31E-02,-4.10E-05
-8.01E-02,-3.98E-05
-7.71E-02,-3.86E-05
-7.41E-02,-3.74E-05
-7.11E-02,-3.61E-05
-6.81E-02,-3.49E-05
-6.51E-02,-3.36E-05
-6.21E-02,-3.23E-05
-5.91E-02,-3.10E-05
-5.61E-02,-2.96E-05
-5.31E-02,-2.83E-05
-5.01E-02,-2.69E-05
-4.71E-02,-2.56E-05
-4.41E-02,-2.42E-05
-4.10E-02,-2.27E-05
-3.81E-02,-2.13E-05
-3.51E-02,-1.99E-05
-3.21E-02,-1.84E-05
-2.91E-02,-1.70E-05
-2.61E-02,-1.55E-05
-2.31E-02,-1.40E-05
-2.01E-02,-1.25E-05
