Field,Moment,FieldParasub,MomentParasub
-5.42E-05,-4.31E-08,-5.42E-05,-4.27E-08
3.01E-03,8.86E-08,3.01E-03,6.59E-08
6.02E-03,2.21E-07,6.02E-03,1.76E-07
9.02E-03,3.58E-07,9.02E-03,2.90E-07
1.20E-02,4.96E-07,1.20E-02,4.05E-07
1.50E-02,6.38E-07,1.50E-02,5.25E-07
1.84E-02,7.88E-07,1.84E-02,6.50E-07
2.11E-02,9.16E-07,2.11E-02,7.58E-07
2.40E-02,1.05E-06,2.40E-02,8.74E-07
2.71E-02,1.19E-06,2.71E-02,9.91E-07
3.00E-02,1.33E-06,3.00E-02,1.10E-06
3.30E-02,1.47E-06,3.30E-02,1.22E-06
3.60E-02,1.61E-06,3.60E-02,1.33E-06
3.91E-02,1.74E-06,3.91E-02,1.45E-06
4.20E-02,1.87E-06,4.20E-02,1.55E-06
4.51E-02,2.01E-06,4.51E-02,1.67E-06
4.80E-02,2.14E-06,4.80E-02,1.78E-06
5.11E-02,2.27E-06,5.11E-02,1.88E-06
5.41E-02,2.39E-06,5.41E-02,1.99E-06
5.71E-02,2.52E-06,5.71E-02,2.09E-06
6.01E-02,2.65E-06,6.01E-02,2.20E-06
6.31E-02,2.77E-06,6.31E-02,2.30E-06
6.61E-02,2.90E-06,6.61E-02,2.40E-06
6.91E-02,3.02E-06,6.91E-02,2.50E-06
7.21E-02,3.13E-06,7.21E-02,2.59E-06
7.51E-02,3.26E-06,7.51E-02,2.69E-06
7.81E-02,3.36E-06,7.81E-02,2.78E-06
8.11E-02,3.47E-06,8.11E-02,2.86E-06
8.41E-02,3.59E-06,8.41E-02,2.96E-06
8.71E-02,3.71E-06,8.71E-02,3.05E-06
9.01E-02,3.83E-06,9.01E-02,3.15E-06
9.31E-02,3.92E-06,9.31E-02,3.22E-06
9.61E-02,4.03E-06,9.61E-02,3.31E-06
9.91E-02,4.14E-06,9.91E-02,3.40E-06
1.02E-01,4.23E-06,1.02E-01,3.46E-06
1.05E-01,4.35E-06,1.05E-01,3.56E-06
1.08E-01,4.46E-06,1.08E-01,3.64E-06
1.11E-01,4.55E-06,1.11E-01,3.71E-06
1.14E-01,4.64E-06,1.14E-01,3.78E-06
1.17E-01,4.74E-06,1.17E-01,3.86E-06
1.20E-01,4.84E-06,1.20E-01,3.93E-06
1.23E-01,4.93E-06,1.23E-01,4.01E-06
1.26E-01,5.02E-06,1.26E-01,4.07E-06
1.29E-01,5.12E-06,1.29E-01,4.15E-06
1.32E-01,5.21E-06,1.32E-01,4.22E-06
1.35E-01,5.29E-06,1.35E-01,4.27E-06
1.38E-01,5.38E-06,1.38E-01,4.35E-06
1.41E-01,5.45E-06,1.41E-01,4.39E-06
1.44E-01,5.54E-06,1.44E-01,4.46E-06
1.47E-01,5.63E-06,1.47E-01,4.52E-06
1.50E-01,5.71E-06,1.50E-01,4.58E-06
1.53E-01,5.78E-06,1.53E-01,4.63E-06
1.56E-01,5.86E-06,1.56E-01,4.68E-06
1.59E-01,5.94E-06,1.59E-01,4.74E-06
1.62E-01,6.01E-06,1.62E-01,4.79E-06
1.65E-01,6.07E-06,1.65E-01,4.83E-06
1.68E-01,6.15E-06,1.68E-01,4.89E-06
1.71E-01,6.23E-06,1.71E-01,4.94E-06
1.74E-01,6.29E-06,1.74E-01,4.98E-06
1.77E-01,6.37E-06,1.77E-01,5.03E-06
1.80E-01,6.41E-06,1.80E-01,5.05E-06
1.83E-01,6.49E-06,1.83E-01,5.11E-06
1.86E-01,6.55E-06,1.86E-01,5.15E-06
1.89E-01,6.60E-06,1.89E-01,5.18E-06
1.92E-01,6.67E-06,1.92E-01,5.22E-06
1.95E-01,6.72E-06,1.95E-01,5.25E-06
1.98E-01,6.78E-06,1.98E-01,5.29E-06
2.01E-01,6.84E-06,2.01E-01,5.33E-06
2.04E-01,6.89E-06,2.04E-01,5.35E-06
2.07E-01,6.94E-06,2.07E-01,5.38E-06
2.10E-01,6.99E-06,2.10E-01,5.41E-06
2.13E-01,7.04E-06,2.13E-01,5.43E-06
2.16E-01,7.10E-06,2.16E-01,5.47E-06
2.19E-01,7.14E-06,2.19E-01,5.49E-06
2.22E-01,7.18E-06,2.22E-01,5.51E-06
2.25E-01,7.24E-06,2.25E-01,5.54E-06
2.28E-01,7.29E-06,2.28E-01,5.57E-06
2.31E-01,7.32E-06,2.31E-01,5.58E-06
2.34E-01,7.37E-06,2.34E-01,5.61E-06
2.37E-01,7.40E-06,2.37E-01,5.62E-06
2.40E-01,7.45E-06,2.40E-01,5.64E-06
2.43E-01,7.50E-06,2.43E-01,5.67E-06
2.46E-01,7.52E-06,2.46E-01,5.67E-06
2.49E-01,7.57E-06,2.49E-01,5.69E-06
2.52E-01,7.61E-06,2.52E-01,5.72E-06
2.55E-01,7.66E-06,2.55E-01,5.74E-06
2.58E-01,7.68E-06,2.58E-01,5.73E-06
2.61E-01,7.71E-06,2.61E-01,5.75E-06
2.64E-01,7.74E-06,2.64E-01,5.75E-06
2.67E-01,7.79E-06,2.67E-01,5.78E-06
2.70E-01,7.82E-06,2.70E-01,5.79E-06
2.73E-01,7.85E-06,2.73E-01,5.80E-06
2.76E-01,7.89E-06,2.76E-01,5.82E-06
2.79E-01,7.92E-06,2.79E-01,5.82E-06
2.82E-01,7.96E-06,2.82E-01,5.84E-06
2.85E-01,8.00E-06,2.85E-01,5.85E-06
2.88E-01,8.02E-06,2.88E-01,5.85E-06
2.91E-01,8.06E-06,2.91E-01,5.87E-06
2.94E-01,8.07E-06,2.94E-01,5.86E-06
2.97E-01,8.11E-06,2.97E-01,5.88E-06
3.00E-01,8.14E-06,3.00E-01,5.88E-06
3.03E-01,8.16E-06,3.03E-01,5.88E-06
3.06E-01,8.20E-06,3.06E-01,5.89E-06
3.09E-01,8.23E-06,3.09E-01,5.90E-06
3.12E-01,8.26E-06,3.12E-01,5.91E-06
3.15E-01,8.29E-06,3.15E-01,5.92E-06
3.18E-01,8.31E-06,3.18E-01,5.92E-06
3.21E-01,8.35E-06,3.21E-01,5.93E-06
3.24E-01,8.37E-06,3.24E-01,5.93E-06
3.27E-01,8.39E-06,3.27E-01,5.93E-06
3.30E-01,8.43E-06,3.30E-01,5.95E-06
3.33E-01,8.46E-06,3.33E-01,5.96E-06
3.36E-01,8.49E-06,3.36E-01,5.96E-06
3.39E-01,8.51E-06,3.39E-01,5.96E-06
3.42E-01,8.54E-06,3.42E-01,5.96E-06
3.45E-01,8.57E-06,3.45E-01,5.98E-06
