TEMP,TSUSC,CSUSC,NSUSC,BULKS,FERRT,FERRB,TIME,NONAME
30.8,-184.7,0,0,0,0,0,0,0
32.9,-184.8,0,0,0,0,0,26,0
38.6,-184.9,0,0,0,0,0,48,0
46.6,-184.9,0,0,0,0,0,70,0
53.4,-185,0,0,0,0,0,92,0
60.4,-185,0,0,0,0,0,115,0/1200
65.9,-185,0,0,0,0,0,137,0
71.6,-185,0,0,0,0,0,159,0
76.1,-185.1,0,0,0,0,0,181,0
80.3,-185.1,0,0,0,0,0,203,0
84.7,-185.1,0,0,0,0,0,225,0
89.2,-185.1,0,0,0,0,0,247,0
94.7,-185.1,0,0,0,0,0,270,0
99.7,-185.1,0,0,0,0,0,292,0
104.8,-185.1,0,0,0,0,0,314,0
109.5,-185.1,0,0,0,0,0,336,0
114.3,-185.2,0,0,0,0,0,359,0
119,-185.2,0,0,0,0,0,381,0
123.8,-185.2,0,0,0,0,0,403,0
128.3,-185.1,0,0,0,0,0,425,
132.9,-185.1,0,0,0,0,0,447,
136.9,-185.2,0,0,0,0,0,469,
141.4,-185.2,0,0,0,0,0,491,0
145.7,-185.2,0,0,0,0,0,513,0
149.4,-185.2,0,0,0,0,0,536,0
153.7,-185.1,0,0,0,0,0,558,0
157.7,-185.2,0,0,0,0,0,580,0
161.2,-185.2,0,0,0,0,0,602,0
165.3,-185.2,0,0,0,0,0,624,0
169.6,-185.2,0,0,0,0,0,647,0
173.3,-185.2,0,0,0,0,0,669,0
177.7,-185.1,0,0,0,0,0,691,0
182.3,-185.2,0,0,0,0,0,713,0
186.9,-185.3,0,0,0,0,0,736,0
191.7,-185.2,0,0,0,0,0,758,0
195.8,-185.2,0,0,0,0,0,780,0
200.2,-185.3,0,0,0,0,0,802,0
205.9,-185.2,0,0,0,0,0,824,0
209.7,-185.4,0,0,0,0,0,846,0
214.6,-185.3,0,0,0,0,0,868,0
218.4,-185.3,0,0,0,0,0,891,0
223.4,-185.3,0,0,0,0,0,913,0
228.9,-185.3,0,0,0,0,0,935,0
234.1,-185.4,0,0,0,0,0,957,0
239.3,-185.4,0,0,0,0,0,979,0
244.5,-185.3,0,0,0,0,0,1002,0
249.8,-185.3,0,0,0,0,0,1024,0
254.8,-185.3,0,0,0,0,0,1046,
259.5,-185.4,0,0,0,0,0,1068,
264.5,-185.3,0,0,0,0,0,1090,
268.6,-185.4,0,0,0,0,0,1112,
273.7,-185.4,0,0,0,0,0,1135,
278.4,-185.4,0,0,0,0,0,1157,
282.6,-185.4,0,0,0,0,0,1179,
287.1,-185.3,0,0,0,0,0,1201,
292.4,-185.3,0,0,0,0,0,1224,
297.7,-185.4,0,0,0,0,0,1246,
303.9,-185.4,0,0,0,0,0,1268,
309,-185.4,0,0,0,0,0,1291,
314.9,-185.4,0,0,0,0,0,1313,
320.2,-185.5,0,0,0,0,0,1335,
325.6,-185.4,0,0,0,0,0,1357,
330.2,-185.5,0,0,0,0,0,1380,
335.8,-185.5,0,0,0,0,0,1402,
341,-185.5,0,0,0,0,0,1424,
345.5,-185.5,0,0,0,0,0,1446,
350.6,-185.5,0,0,0,0,0,1469,
355.5,-185.5,0,0,0,0,0,1491,
360.4,-185.6,0,0,0,0,0,1513,
365,-185.6,0,0,0,0,0,1536,
370.7,-185.6,0,0,0,0,0,1558,
375.6,-185.6,0,0,0,0,0,1580,
379.6,-185.6,0,0,0,0,0,1602,
385.4,-185.7,0,0,0,0,0,1625,
389.7,-185.6,0,0,0,0,0,1647,
395,-185.6,0,0,0,0,0,1669,
399.6,-185.7,0,0,0,0,0,1692,
