,station,specimens,
143,AME16_172,7,Triaxial
142,AME16_171,6,Triaxial
141,AME16_170,6,Prolate
140,AME16_169,6,Triaxial 
139,AME16_168,7,Triaxial
138,AME16_167,6,Triaxial
137,AME16_166,7,Prolate
136,AME16_165,7,REJECT
135,AME16_164,7,Triaxial
134,AME16_162,5,Triaxial
133,AME16_161,5,Triaxial
132,AME16_160,6,Triaxial
131,AME16_159,4,REJECT
130,AME16_158,6,Prolate
129,AME16_157,5,Triaxial
128,AME16_156,6,Triaxial
127,AME16_152,6,Triaxial
126,AME16_147,6,Triaxial
125,AME16_146,6,Oblate
124,AME16_145,6,Triaxial
123,AME16_144,6,Prolate
122,AME16_142,6,Triaxial
121,AME16_141,6,Triaxial
120,AME16_140,6,Triaxial
119,AME16_139,6,Oblate
118,AME16_138,6,Triaxial
117,AME16_137,5,Triaxial
116,AME16_115,6,Triaxial
115,AME16_114,5,Triaxial
114,AME16_113,5,Triaxial
113,AME16_112,6,Prolate
112,AME16_111,5,REJECT
111,AME16_110,5,Triaxial
110,AME16_109,5,Triaxial
109,AME16_108,6,REJECT
108,AME16_107,5,Prolate
107,AME16_105,5,Prolate
106,AME16_104,6,Triaxial
105,AME16_103,5,REJECT
104,AME16_101,6,Triaxial
103,AME16_099,5,Oblate
102,AME16_098,5,Triaxial
101,AME16_097,6,Triaxial
100,AME16_096,5,Triaxial
99,AME16_095,6,Triaxial
98,AME16_094,6,Oblate
97,AME16_093,6,Oblate
96,AME16_092,6,Triaxial
95,AME16_091,7,Triaxial
94,AME16_090,6,Triaxial
93,AME16_089,5,Prolate
92,AME16_088,6,Prolate
91,AME16_087,6,Prolate
90,AME16_086,6,Prolate
89,AME16_085,5,Triaxial
88,AME16_084,6,Prolate
87,AME16_083,6,Prolate
86,AME16_081,6,Prolate
85,AME16_080,6,Prolate
84,AME16_079,6,Prolate
83,AME16_078,5,Triaxial
82,AME16_077,5,Triaxial
81,AME16_076,5,Oblate
80,AME16_075,4,Triaxial
79,AME16_057,5,Triaxial
78,AME16_056,5,Triaxial
77,AME16_055,5,Prolate
76,AME16_054,5,Triaxial
75,AME16_051,3,REJECT
74,AME16_043,5,Oblate
73,AME16_042,4,Triaxial
72,AME16_041,5,Triaxial
71,AME16_035,5,REJECT
70,AME16_034,5,Oblate
69,AME16_033,5,Triaxial
68,AME16_032,4,REJECT
67,AME16_031,4,REJECT
66,AME16_030,4,Triaxial
65,AME16_029,5,Triaxial
64,AME16_004,5,Triaxial
63,AME16_003,4,Prolate
62,AME18_295,12,Triaxial
61,AME18_288,12,Triaxial
60,AME18_287,10,Oblate
59,AME18_286,10,Triaxial
58,AME18_284,12,Triaxial
57,AME18_283,8,Triaxial
56,AME18_282,25,Triaxial
55,AME18_281,11,Triaxial
54,AME18_272,12,Oblate
53,AME18_269,11,Oblate
52,AME18_268,10,Prolate
51,AME18_265,9,Triaxial
50,AME18_262,10,Triaxial
49,AME18_256,8,Triaxial
48,AME18_253,9,Triaxial
47,AME18_252,8,Triaxial
46,AME18_250,12,Triaxial
45,AME18_248,13,Prolate
44,AME18_242,11,Triaxial
43,AME18_197,23,Triaxial
42,AME18_196,9,Triaxial
41,AME18_195,10,Triaxial
40,AME18_194,10,Triaxial
39,AME18_184,10,Triaxial
38,AME18_180,13,Triaxial
37,AME18_179,11,Triaxial
36,AME18_178,10,Triaxial
35,AME18_177,11,Triaxial
34,AME18_175,9,Triaxial
33,AME18_169,10,Triaxial
32,AME18_168,12,Oblate
31,AME18_167,9,Triaxial
30,AME18_165,10,Triaxial
29,AME18_159,12,Triaxial
28,AME18_156,9,Triaxial
27,AME18_155,10,Prolate
26,AME18_154,9,Triaxial
25,AME18_152,12,Triaxial
24,AME18_151,10,Triaxial
23,AME18_149,10,Triaxial
22,AME18_148,11,Prolate
21,AME18_147,23,Prolate
20,AME18_146,12,Triaxial
19,AME18_145,7,Prolate
18,AME18_139,23,Triaxial
17,AME18_137,10,Triaxial
16,AME18_135,11,Triaxial
15,AME18_131,14,Triaxial
14,AME18_130,12,Triaxial
13,AME18_128,12,Prolate
12,AME18_127,12,Triaxial
11,AME18_120,9,Triaxial
10,AME18_118,11,Oblate
9,AME18_117,9,Triaxial
8,AME18_116,9,Oblate
7,AME18_114,9,Triaxial
6,AME18_111,14,Triaxial
5,AME18_104,14,Triaxial
4,AME18_020,11,Triaxial
3,AME18_018,10,Triaxial
2,AME18_017,12,Prolate
1,AME18_015,9,Triaxial
