station,easting,northing,Quartz,Feldspar,Notes,Mafics,Classification,High Strain
AME16_004,120.0990632,-20.98671452,Large recrystallized quartz with minor internal deformation_ organized into ribbons. Grain boundaries are straight to wavy_ and grains have a tendency towards rectangular shape (formerly chessboard?),Rounded phenocrysts with areas of finely recrystallized feldspars. Microcline with undulose extinction ,,Bi - Ti - Oxides (Chl + Ep),SM2,
AME16_033,119.9032344,-21.09877411,Equant_ mostly large grains_ with some smaller zones of recrystallized. Interal deformation is relatively minor,Irregular_ cerrucitized feldspar_ poikilitic microcline_ some recrystallized zones and deformation twins,,Bt - Oxides - (Chl + Ep),SM2,
AME16_055,119.9547397,-21.07691671,Equant_ large grains. Very little internal deformation,Irregular_ cerrucitized feldspar_ poikilitic microcline_ some recrystallized zones and deformation twins,,Oxides (Chl + Epidote),SM2,
AME16_056,119.9751408,-21.05743415,,,Entirely recrystallized feldspar-quartz aggregate with well aligned mafics,Bi - Hb - Ti - Oxides,SM3,
AME16_057,119.9982477,-21.02645212,Medium_ recrystallized grains_ organized in ribbons,equant_ rounded plagioclase_ recrystallized microcline,Partially recrystallized feldspar-quartz aggregate,Bi - (Chl + Ep),SM2,
AME16_084,120.2233334,-21.20376164,Entirely recrystallized quartz_ fine grain size. Rock is very quartz rich_ with small phenocrysts of feldspar floating in a quartz aggregate,Plagioclase is not internally deformed,,Bi ,SM2,High Strain
AME16_085,120.2584468,-21.2110834,Large quartz grains that fill in spaces between clots of plan laths. Clear chessboard sub grains,Clots of cerussite - cored plags and interstitial microcline,,Bi - Ti - Oxides (Chl + Ep),M,
AME16_088,120.341015,-21.21645302,Fine dynamically recrystallized aggregates — Amoebodal grains indicate GBM. Some grain boundaries are straight and at right angles in a chessboard type structure. ,Some porphyroclasts remain_ surrounded by very fine recrystallized feldspar + quartz aggregates. ,,Bi - Hb - Oxides (Chl + Ep),HT,High Strain
AME16_095,120.0703127,-21.3773817,Fine dynamically recrystallized aggregates — Amoebodal grains indicate GBM.,Feldspars are rounded to irregular_ but don’t show evidence of extensive internal deformation,,Bi - Ti - Oxides (Chl + Ep),HT,High Strain
AME16_096,120.0746136,-21.39920399,Large quartz grains with very high degrees of internal deformation are surrounded by very find grained recrystallized quartz_ indicating BLG recrystallization,Clots of feldspars surrounded by mafics are irregular but do not show significant internal deformation or recrystallization,Some kinked biotite,Bi - Ti - Oxides (Chl + Ep),SM2,
AME16_098,120.0994658,-20.91279552,Very large_ internally deformed quartz_ irregular shape. Chessboard extinction,Very large poikilitic microcline surrounding small plagioclase laths. Feldspars preserve magmatic internal structure_ like zoning and twining. ,,Bi - Hb - Oxides (Chl + Ep),M,
AME16_099,120.0940173,-20.92660613,Interstitial quartz_ internally deformed_ irregular shape_ occasional Chessboard extinction,Undeformed_ overlapping feldspar laths_ heavily cerusitized except for rims. ,,Bi - Hb - Oxides (Chl + Ep),M,
AME16_107,120.2578967,-21.04537334,Large quartz grains_ irregularly shaped to fill space between feldspars. Significant sub grain generagion_ one or two places with chessboard extinction,Poikalitic microcline willed with deformation twins_ plag with lots of mermikite,,Bi - Hb - Ti - Oxides (Chl + Ep),SM2,
AME16_108,120.2063672,-21.07107603,Dynamically recrystallized quartz_ undulose extinction_ organized into quartz rich elongate aggregates. Low strain (groups of new grains are still similarly oriented,Fedlspars are irregularly shaped_ but still preserve their internal primary structures_ like zoning_ twinning. Some mermikite present,,Bi - (Chl + Ep),SM2,
AME16_109,120.219785,-21.04859384,Chessboard_ ,rounded/reX_ irregular_ rims of clean feldspar,,Bi - ,SM3,
AME16_111,120.2186466,-21.00821368,Partially recrystallized_ elongate quartz aggregates. Subgrains are elongate ,Large Plage preserve internal zoning_ twins_ some recrystallized spar,,Bi - Hb - Ti - Oxides (Chl + Ep),SM2,
AME16_139,119.9659205,-21.33008136,Serated grain boundaries_ quartz aggregates elongate in ribbons_ undulose extinction_ SGR recrystallized.,Rounded_ very finely recrystallized feldspar between laths,,Bt - (Ep/Chl),HT,
AME16_140,119.9480852,-21.31836053,Quartz is medium grained_ internally deformed_ and recrystallized. Grain boundaries are amoeboidal ,Deformation twins_ mermakite_ recrystallization,Recrystallized quartz-feldspar aggregate,Bi - ,HT,
AME16_160,119.9387003,-21.0392346,Small_ interstitial quartz_ relatively low internal deformation,small_ apparently recrystallized plan and microcline,Looks like a solid state deformation_ with well-aligned biotites and hornblendes. But quartz appears essentially magmatic. Mafics line boundary between feldspar and quartz,Bi - Hb - Oxides (Chl + Ep),SM3,
AME16_161,119.9561243,-21.05222345,Poikalitic_ incipient chessboard_ straight internal grain boundaries,Rounded/reX_ Mermikite_ microcline,,Bi - Hb - Oxides,SM3,
AME16_165,120.1824582,-21.30010097,Large grains with significant internal deformation and amoeboid boundaries_ incipient chessboard but little to no recrystallized grains,Fedlspar laths are irregular in shape_ significant mermikite present. Microcline can be poikilitic.,,Bi - Oxides,SM2,
AME16_167,120.1245699,-21.30630065,Quartz is half large grains with internal deformation (incipient chessboard)_ and half recrystallized in fine equant grains surrounding larger grains,Feldspars are irregular_ locally recrystallized_ and are lined with new feldspar growth,Perhaps records multiple generations of deformation,Bi - Hb - Ti - Oxides (Chl + Ep),SM2,
AME16_168,120.0976519,-21.30824701,Chessboard_ jagged irregular grain boundaries,Mermakite_ partially consumed_ microcline,,Bi - Hb - Ti - Oxides,SM2,
AME16_170,120.1176411,-21.34951891,Dynamically recrystallized quartz_ grains have high internal strains characterized by sub grains elongate in a single direction per grain. Grain boundaries are amoeboidal and bulging ,Feldspars are rounded to irregular_ but don’t show evidence of extensive internal deformation,,Bi - Hb - Ti - Oxides (Chl + Ep),SM2,
AME18_015,119.925586,-21.325785,Recrystallized quartz and feldspar_ evenly spaced biotites,,,Bi - (Chl + Ep),HT,
