site number,specimen,rock type,easting,northing,L,F,P,Pj,T,max,int,min,Dmax (in-situ),Imax (in-situ),Dmin (in-situ),Imin (in-situ),e12,e23,e31,comments
cy08-33,331a1,gabbro,488036.7282,3861297.915,1.15642,1.017,1.17608,1.19524,-0.79213,3614.51,3125.6,3073.35,34.7616,29.0261,140.378,25.8795,0.965864,8.96533,0.87263,
cy08-33,33a1b,gabbro,488036.7282,3861297.915,1.08312,1.0191,1.10381,1.11054,-0.616885,1386.4,1280,1256.01,35.5589,20.4001,-81.0363,50.2831,1.78876,7.8858,1.45981,
cy08-33,33a2a,gabbro,488036.7282,3861297.915,1.13498,1.0702,1.21465,1.21823,-0.302249,4079.93,3594.71,3358.92,-87.4861,14.4826,64.4239,73.681,1.39065,2.86002,0.935979,
cy08-33,33a2b,gabbro,488036.7282,3861297.915,1.12085,1.00485,1.12629,1.1441,-0.918635,2225.77,1985.78,1976.19,41.251,19.7343,240.598,69.1834,0.769235,18.5819,0.739697,
cy08-33,33a3a,gabbro,488036.7282,3861297.915,1.1327,1.01851,1.15366,1.1683,-0.743427,2075.07,1831.97,1798.69,40.5806,21.4939,187.765,64.8941,1.53593,11.0795,1.35102,
cy08-33,33a3b,gabbro,488036.7282,3861297.915,1.13916,1.01594,1.15732,1.17393,-0.783545,3078.66,2702.57,2660.17,36.734,35.0091,167.746,43.1327,1.02592,9.02596,0.922003,
cy08-33,33b1b,gabbro,488036.7282,3861297.915,1.07956,1.02299,1.10438,1.10964,-0.542064,1331.83,1233.68,1205.95,243.104,36.7396,150.804,3.07736,3.92848,13.6621,3.06498,
cy08-33,33b1c,gabbro,488036.7282,3861297.915,1.04948,1.03231,1.08339,1.08401,-0.205963,1035.68,986.849,955.961,246.598,38.3132,144.546,14.8029,1.33334,2.10733,0.816817,
cy08-33,33b2a,gabbro,488036.7282,3861297.915,1.09737,1.02327,1.12291,1.1306,-0.603069,1503.91,1370.46,1339.29,120.756,53.7289,-39.9889,34.7121,1.43022,6.10103,1.15948,
cy08-33,33b2b,gabbro,488036.7282,3861297.915,1.05203,1.02721,1.08066,1.08197,-0.307701,931.041,884.997,861.55,123.239,54.917,-55.9997,35.0806,6.11156,11.8745,4.0581,
