site,trend,plunge,a95,k,N,strike,dip,lithology,peninsula,comments
FL14-01,91.6,47.2,3.4,203.9,10,193.3,24.8,L,F,
FL14-02,291.6,83,18.4,6.9,2,45.2,80.6,D,F,
FL14-03,85.8,69.8,1.9,552.4,11,193.3,24.8,L,F,
FL14-04,127.4,46.9,4,117.9,12,193.3,24.8,L,F,
FL14-05,127,49.1,1.8,678.9,11,193.3,24.8,L,F,
FL14-06,125,50.9,4.1,137.9,10,193.3,24.8,L,F,
FL14-07,102.1,49.5,2.4,285.8,14,193.3,24.8,L,F,
FL14-08,126.9,50.3,2.9,177.6,15,193.3,24.8,L,F,
FL14-09,118.4,51.8,2.3,318.4,13,193.3,24.8,L,F,
FL14-10,96.9,48.6,2.8,157.5,18,193.3,24.8,L,F,
FL14-11,185.7,-61.5,6.3,48,12,121.7,15,L,F,a
FL14-11,4.1,67.4,5.6,266.8,4,121.7,15,L,F,b
FL14-12,189.1,-64.8,2.7,148.3,20,121.7,15,L,F,
FL14-13,115.8,53.9,2,359,15,199.4,24.1,L,F,
FL14-14,112.2,48.9,3,166.7,15,199.4,24.1,L,F,
FL14-15,106,58.15,5.2,58.7,13,199.4,24.1,L,F,
FL14-16,117.8,51.7,2,413.4,14,199.4,24.1,L,F,
FL14-17,112.1,51.5,3.2,203,11,199.4,24.1,L,F,
FL16-53,94.8,50.5,3.3,155,13,199.4,24.1,L,F,
FL16-54,100.1,53.7,3.1,145.9,16,199.4,24.1,L,F,
FL16-55,100.4,46.9,6.8,68.2,8,199.4,24.1,L,F,
FL16-56,105.6,50.4,4,117.2,12,199.4,24.1,L,F,
FL16-57,115.7,39.1,3.8,257.4,7,199.4,24.1,L,F,
FL16-58,111.3,37.1,3,403.6,7,199.4,24.1,L,F,
FL14-18,72.2,57.3,3,189.4,13,180.7,22.3,L,F,
FL14-19,56.4,58,3,178.5,10,180.7,22.3,L,F,
FL14-20,52.4,72.5,4.2,71.5,17,180.7,22.3,L,F,
FL14-21,74.5,65.5,1.7,401.1,18,180.7,22.3,L,F,
FL14-22,109.7,66.2,3.7,124.9,13,180.7,22.3,L,F,
FL16-59,69.1,57.8,20,158.1,2,180.7,22.3,L,F,
FL16-60,82.7,48.4,5.1,89.2,10,180.7,22.3,L,F,
FL16-61,65.7,65.9,2.7,329.9,10,180.7,22.3,L,F,
FL16-62,44,77.7,4.5,229.7,5,180.7,22.3,L,F,
FL16-63,61.9,63.7,7.9,51.8,6,180.7,22.3,L,F,
FL14-23,307.5,48.4,2.1,408.5,11,214.1,31,L,F,
FL14-24,285.1,19.7,4.3,75,4,214.1,31,L,F,
FL14-25,110.6,52,1.5,617.5,12,214.1,31,L,F,
FL14-26,146.8,39.7,12.9,11.6,7,124.7,85.5,D,F,
FL16-29,281.8,-64.6,7.9,44.9,6,202.6,35.7,L,F,
FL16-30,89.9,49.4,2.2,464.3,10,202.6,35.7,L,F,
FL16-31,286.4,-37.4,10.1,12.9,7,202.6,35.7,L,F,
FL16-32,302.3,-20.3,7.7,53,8,202.6,35.7,L,F,
FL16-33,260.5,44,7.3,29.8,5,202.6,35.7,L,F,
FL16-34,76.6,81.8,6.8,37.2,5,202.6,35.7,L,F,
FL16-35,79.9,62.4,3.5,133.5,14,202.6,35.7,L,F,
FL16-36,112.1,39.2,2.9,206.5,13,202.6,35.7,L,F,
FL16-37,114.7,38.9,5.5,63.6,12,202.6,35.7,L,F,
FL16-38,79.7,30.9,3.6,288.9,7,202.6,35.7,L,F,
FL16-39,114.1,43.6,2.4,1010.9,5,202.6,35.7,L,F,
FL16-40,100.4,58.7,5.1,89.4,10,202.6,35.7,L,F,
FL16-41,111,55.5,4,196.1,8,202.6,35.7,L,F,
FL16-42,293.9,-52.5,3.6,151.3,11,210.5,28.6,L,F,a
FL16-42,305.3,-64.7,5.9,77.6,9,210.5,28.6,L,F,b
FL16-43,102.9,43.9,2.4,182,21,210.5,28.6,L,F,
FL16-44,112.2,47.4,2.3,243.8,13,210.5,28.6,L,F,
FL16-45,99.1,64.3,6.3,70,7,210.5,28.6,L,F,
FL16-46,97.1,66.8,7,76.3,5,210.5,28.6,L,F,
FL16-47,320.3,-53.1,7.3,31.2,8,210.5,28.6,L,F,
FL16-48,299,-51.8,7.9,36.3,6,207.6,29,L,F,
FL16-49,277.2,-51.3,5.9,79.6,7,207.6,29,L,F,
FL16-50,288.4,-42.9,4.3,115.2,11,207.6,29,L,F,
FL16-51,305.8,-40.8,6.4,81,5,207.6,29,L,F,
FL16-52,311.3,-53.7,4.3,130.8,9,207.6,29,L,F,
