EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z
0.008367	0.00740382	0.00650701	0.637364	0.546867	0.542866	-0.762386	0.549896	0.341148	-0.111957	-0.631309	0.767408
0.0195611	0.00457474	0.00371533	0.704385	-0.37593	-0.602095	0.456115	-0.41022	0.789734	0.543876	0.830901	0.117486
0.00969817	0.00422842	0.00329448	0.362896	0.532723	0.764534	0.919054	-0.0692244	-0.388005	0.153775	-0.843454	0.514722
0.191538	0.116862	0.017879	0.142553	0.95888	-0.245412	0.824954	0.0219039	0.564776	-0.546928	0.282964	0.787909
0.0590428	0.0176638	0.00806538	0.0476513	-0.335727	0.940753	0.899681	-0.394734	-0.186439	0.43394	0.855262	0.283237
0.0269046	0.0075745	0.00498414	-0.167295	-0.448119	0.878181	0.985498	-0.101672	0.135858	0.0284057	0.888173	0.45863
0.0670252	0.00475684	0.00276224	0.630362	0.768785	-0.107766	0.450254	-0.248984	0.857483	0.632388	-0.589047	-0.503099
0.00700884	0.00509942	0.00315903	-0.580822	-0.0182334	0.813826	0.664719	-0.587715	0.461237	0.469888	0.808862	0.353478
0.00909259	0.00636221	0.00195874	0.0356583	0.135168	0.990181	0.140181	0.980339	-0.138873	0.989484	-0.143756	-0.0160092
0.17377	0.060865	0.0116388	0.192994	0.940858	-0.278459	0.640359	0.0942496	0.762271	0.743433	-0.325428	-0.584298
0.0237839	0.0140101	0.0053105	-0.0590664	-0.542891	0.837723	0.341237	0.777655	0.528024	0.93812	-0.31705	-0.139321
0.016582	0.00557515	0.0035576	0.12556	0.991771	0.0250102	0.991405	-0.126368	0.0338782	-0.0367599	-0.0205415	0.999113
0.245148	0.206202	0.0719027	0.745993	0.231963	0.62425	-0.361382	-0.646352	0.672036	-0.559372	0.726927	0.398347
0.0139557	0.00901686	0.00437439	0.87062	0.18675	0.455131	0.113057	0.824435	-0.55455	-0.478788	0.534258	0.696656
0.0506016	0.011763	0.00548721	0.783381	-0.135785	-0.606529	0.312303	-0.757721	0.572997	0.537384	0.638296	0.551178
0.0100409	0.00447947	0.00291115	0.646058	-0.622367	0.441892	-0.518551	0.0669448	0.852422	0.560101	0.779858	0.279479
0.00815573	0.00568321	0.0033656	0.832811	-0.287321	0.473152	0.492405	0.77503	-0.396062	-0.25291	0.562827	0.786932
0.0157297	0.0116955	0.00399082	0.637833	-0.305053	0.707186	-0.722304	0.0817409	0.686728	0.267294	0.948821	0.168204
0.0445229	0.0183003	0.00705698	0.533195	0.834075	0.1415	-0.557143	0.220332	0.800653	0.636628	-0.505741	0.582178
0.0178167	0.00804748	0.00320075	0.459653	0.0675374	0.885527	-0.312852	0.945502	0.0902815	0.831169	0.318537	-0.455732
0.0201308	0.00717568	0.00457086	0.820508	-0.561119	0.109143	0.521454	0.656483	-0.545083	0.234206	0.504158	0.831247
0.0113653	0.00834767	0.00489095	0.677739	-0.524909	0.514918	-0.68621	-0.199929	0.699388	0.264168	0.827345	0.495698
0.0101325	0.00441414	0.00239515	-0.163614	-0.668266	0.725708	-0.670163	0.615121	0.415341	0.723956	0.418387	0.548489
0.00534522	0.00379151	0.00277832	0.676806	0.039545	0.735098	0.575869	0.593613	-0.562137	-0.458594	0.803779	0.378988
0.0151048	0.00985323	0.00412196	0.687356	0.360651	0.630454	-0.230932	0.931485	-0.281081	0.688631	-0.0476105	-0.723548
0.159497	0.0375151	0.0284322	-0.591613	-0.237331	0.770499	-0.500128	0.857618	-0.119848	0.63235	0.456252	0.626074
0.196139	0.0643004	0.027928	-0.330348	-0.00504373	0.943846	0.842369	-0.45267	0.292412	0.425776	0.891664	0.153788
