Name          Field         Freq.         Km            L             F             P             Pj            T             U             K1dec         K1inc         K2dec         K2inc         K3dec         K3inc         K11           K22           K33           K12           K23           K13
AME18_015_C2   423          F1             1120.467      1.035         1.11          1.148         1.155         0.507         0.481         258.9         48.7          149.1         16.6          46.3          36.5          0.99132       1.00252       1.00616      -0.02967      -0.05212      -0.03669 
AME18_015_C3   423          F1             303.2457      1.033         1.12          1.157         1.165         0.559         0.534         262.3         50.6          145.2         20.5          41.7          31.9          0.98158       1.0037        1.01471      -0.03755      -0.04909      -0.03909 
AME18_020A_B   423          F1             144.3748      1.072         1.026         1.1           1.104        -0.469        -0.487         225.3         11            354.4         72.8          132.7         13            1.00773       1.00645       0.98581       0.04592      -0.01346      -0.00577 
AME18_020A_C   423          F1             148.4654      1.073         1.022         1.096         1.101        -0.527        -0.543         221.4         10.7          327.8         56.1          124.7         31.7          1.01709       1.00304       0.97987       0.04139      -0.01642      -0.00442 
AME18_020A_D   423          F1             201.7776      1.069         1.028         1.099         1.101        -0.416        -0.435         224.4         11.1          332.7         58            128           29.6          1.012         1.0057        0.9823        0.04245      -0.01802      -0.00211 
AME18_104A_C   423          F1             138.9855      1.032         1.132         1.168         1.179         0.601         0.576         247.1         58.8          123.9         18.3          25.3          24.3          0.94891       1.01844       1.03265      -0.0355       -0.03252      -0.04642 
AME18_104A_C   423          F1             249.1515      1.355         1.151         1.559         1.575        -0.366        -0.46          253.7         57.5          98.3          30            1.8           11.2          0.82081       1.01818       1.16101       0.02205      -0.14413      -0.06525 
AME18_104A_D   423          F1             96.74321      1.084         1.116         1.21          1.21          0.155         0.109         254.3         62.5          123.8         18.7          27            19.4          0.93411       1.0043        1.06159      -0.033        -0.04806      -0.03859 
AME18_111A_A   423          F1             1451.314      1.058         1.15          1.217         1.224         0.424         0.383         208.9         59            113.7         3.1           21.9          30.8          0.95196       1.01464       1.03339      -0.02738      -0.03459      -0.07751 
AME18_111A_B   423          F1             1422.763      1.028         1.097         1.127         1.134         0.544         0.522         219.3         61.4          119.5         5.3           26.7          28            0.9684        1.00908       1.02252      -0.02501      -0.02436      -0.04266 
AME18_111A_C   423          F1             1262.978      1.048         1.118         1.172         1.177         0.405         0.371         205.6         59.8          113.2         1.4           22.4          30.2          0.96087       1.01005       1.02908      -0.02351      -0.02717      -0.06266 
AME18_111A_C   423          F1             1207.981      1.04          1.118         1.162         1.169         0.481         0.452         227.5         60.2          121.6         8.9           26.7          28.2          0.96029       1.01087       1.02884      -0.02857      -0.03309      -0.05186 
AME18_111A_D   423          F1             1343.245      1.048         1.141         1.196         1.204         0.475         0.44          214.7         55.6          116.6         5.5           22.8          33.8          0.96209       1.01776       1.02015      -0.02397      -0.03586      -0.07301 
AME18_111A_E   423          F1             1079.899      1.036         1.118         1.158         1.166         0.522         0.495         217.1         53.9          113           10            16.1          34.3          0.96376       1.02281       1.01342      -0.0136       -0.02447      -0.06229 
AME18_114A_B   423          F1             18087.57      1.021         1.369         1.398         1.456         0.875         0.855         338.5         12.3          71.7          14.5          209.7         70.8          1.08531       1.08552       0.82917      -0.02123       0.04351       0.08397 
AME18_114A_D   423          F1             30111.69      1.031         1.172         1.208         1.225         0.681         0.655         6.8           42.2          106.1         10.1          206.8         46            0.99883       1.02559       0.97558      -0.02763       0.03632       0.08398 
AME18_114A_D   423          F1             40849.59      1.083         1.113         1.206         1.206         0.148         0.102         8.4           50.1          105           5.4           199.5         39.4          0.98555       1.00027       1.01417      -0.01424       0.02278       0.08796 
AME18_127B_C   423          F1             102.5595      1.034         1.055         1.091         1.091         0.225         0.205         0.9           50.2          120           22.1          224.2         31.2          1.00044       0.98736       1.0122       -0.01883       0.01636       0.03345 
