,fieldStation,easting,northing,notes,strike,dip,assocRake,featureType,foliationType,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
1290,AME 18 fieldstation-442,119.939418,-21.356248,,1,86,86,bedding,,,,,,,,,,,,,
1452,AME 18 fieldstation-585,119.939185,-21.35642,,4,81,92,bedding,,,,,,,,,,,,,
1848,AME18FieldStation-437,119.939422,-21.356209,,4,74,96,bedding,,,,,,,,,,,,,
771,Ame18fieldstation-489,119.939062,-21.356128,Schist_chlorite,10,76,86,bedding,,,,,,,,,,,,,
733,Ame18fieldstation-461,119.940011,-21.356188,,10,80,88,bedding,,,,,,,,,,,,,
765,Ame18fieldstation-484,119.93696,-21.355643,,10,85,91,bedding,,,,15302491222981.jpg,15302489992394.jpg,,,,,,,,
1317,AME 18 fieldstation-467,119.937606,-21.355267,,13,84,95,bedding,,,,,,,,,,,,,
709,Ame18fieldstation-443,119.939813,-21.356202,,14,84,84,bedding,,,,,,,,,,,,,
429,Ame18fieldstation-245,120.17357593333,-21.327167983333,"Picked_up_the_undergrads_Rex_and_Casey,_spent_the_night_in_Port_Hedland,_and_then_drove_straight_to_the_Francois_et_al_entrained_granite_locality._Hiked_2.5_kilometers_from_the_truck_to_the_southwest_side_of_a_prominent_garnet_hill._Found_a_metasedimentary_rock_with_very_garnet_rich_layers._Garnets_are_pea_sized_on_average,_but_have_a_range_of_grain_sizes.",22,75,148,foliation,schistosity,Ame18-138A,031 66 SE 146,15286981077297.jpg,,,,,,,,,
1611,AME18FieldStation-245,120.17361382965,-21.327131688615,Just_hiked_2_km_to_granite_hill._On_SW_side_about_20_m_from_base_of_hill_is_a_small_assemblage_of_amphibolite_facies_rocks_with_garnets.,22,75,148,foliation,schistosity,AME18-138B,H N,15286974751805.jpg,,,,,,,,,
1610,AME18FieldStation-245,120.17361382965,-21.327131688615,Just_hiked_2_km_to_granite_hill._On_SW_side_about_20_m_from_base_of_hill_is_a_small_assemblage_of_amphibolite_facies_rocks_with_garnets.,25,68,146,foliation,schistosity,AME18-138A,031 66 SE 146,15286974751805.jpg,,,,,,,,,
1061,AME 18 fieldstation-245,120.17358155932,-21.327179046368,"Just_hiked_2_km_from_road,_garnets_in_amphibolite_facies_metamorphic_rock_overlaying_granites_20m_from_southwest_corner_of_granitic_hill",26,72,146,foliation,schistosity,AME 18-138A,"031, 66 SE, 146 rake",15286974302159.jpg,,,,,,,,,
1027,Ame18fieldstation-674,120.226856,-21.366017,2_m_thick_chert_bed.,28,45,96,bedding,,,,,,,,,,,,,
1507,AME 18 fieldstation-637,120.226888,-21.365976,,28,45,96,bedding,,,,,,,,,,,,,
2094,AME18FieldStation-641,120.226877,-21.365965,,28,45,96,bedding,,,,,,,,,,,,,
1904,AME18FieldStation-484,119.955804,-21.368181,Leg_curves_so_2nd_S_and_D_taken,30,65,75,bedding,,,,,,,,,,,,,
