wkt_geom,field_1,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,rake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
Point (119.93906890053000325 -21.35535896292099878),18,15258402067849,Point,119.93906890053,-21.355358962921,The_ridge_is_full_of_examples_of_right_lateral_s-c_fabrics;_with_c_surfaces_parallel_to_compositiol_contacts;_maybe_bedding._The_s_surfaces_are_oblique_to_these_contacts.,311,90,0,0,0,0,0,foliation,c_plane,,,0,0,0,0,,,15258405448589.jpg,,,,,,,,,
Point (119.93906890053000325 -21.35535896292099878),19,15258402067849,Point,119.93906890053,-21.355358962921,The_ridge_is_full_of_examples_of_right_lateral_s-c_fabrics;_with_c_surfaces_parallel_to_compositiol_contacts;_maybe_bedding._The_s_surfaces_are_oblique_to_these_contacts.,277,84,0,0,0,0,0,foliation,s_plane,,,0,0,0,0,,,15258405448589.jpg,,,,,,,,,
Point (119.93905463333000228 -21.3554831333329993),20,Ame18005,Point,119.93905463333,-21.355483133333,,0,0,0,0,0,0,0,,,,,0,0,0,0,Ame18 005,,,,,,,,,,,
Point (119.94379076667000561 -21.35526858333300027),226,Ame18fieldstation-126,Point,119.94379076667,-21.355268583333,Quartz_vein_boudige_in_mafic_pelitic_schist.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15272179701410.jpg,,,,,,,,,
Point (119.94325106667000114 -21.35565471666700077),227,Ame18fieldstation-127,Point,119.94325106667,-21.355654716667,Sinistral_kink_folds.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15272181825538.jpg,15272182266519.jpg,,,,,,,,
Point (119.94325106667000114 -21.35565471666700077),228,Ame18fieldstation-127,Point,119.94325106667,-21.355654716667,Sinistral_kink_folds.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15272181825538.jpg,15272182266519.jpg,,,,,,,,
Point (119.94247173332999523 -21.35678718333300097),229,Ame18fieldstation-128,Point,119.94247173333,-21.356787183333,Intense_conjugate_veins.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15272184733977.jpg,,,,,,,,,
Point (119.94192599999999516 -21.35619099999999904),653,Ame18fieldstation-386,Point,119.941926,-21.356191,Folded_chert_bed_at_the_20_m_scale._Foliated_Le_is_interesting_in_several_regards._First;_it_appears_to_verging_in_a_dextral_fashion._Second;_the_stretching_lineation_s_are_different_for_the_outside_of_the_fold_versus_the_inside_of_the_fold._The_outside_has_a_generally_more_vertical_rake.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300628659655.jpg,15300614775128.jpg,,,,,,,,
Point (119.94192599999999516 -21.35619099999999904),654,Ame18fieldstation-386,Point,119.941926,-21.356191,Folded_chert_bed_at_the_20_m_scale._Foliated_Le_is_interesting_in_several_regards._First;_it_appears_to_verging_in_a_dextral_fashion._Second;_the_stretching_lineation_s_are_different_for_the_outside_of_the_fold_versus_the_inside_of_the_fold._The_outside_has_a_generally_more_vertical_rake.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300628659655.jpg,15300614775128.jpg,,,,,,,,
Point (119.94161699999999371 -21.35690699999999964),662,Ame18fieldstation-394,Point,119.941617,-21.356907,Finely_lamited_schist_with_kink_bands_and_asymmetric_folding_showing_dextral_shear_sense.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300642386919.jpg,15300639201271.jpg,,,,,,,,
Point (119.94161699999999371 -21.35690699999999964),663,Ame18fieldstation-394,Point,119.941617,-21.356907,Finely_lamited_schist_with_kink_bands_and_asymmetric_folding_showing_dextral_shear_sense.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300642386919.jpg,15300639201271.jpg,,,,,,,,
Point (119.94142499999999529 -21.35672200000000132),671,Ame18fieldstation-403,Point,119.941425,-21.356722,Short_limb_of_dextral_folding.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300681485112.jpg,15300673175221.jpg,,,,,,,,
Point (119.94150700000000143 -21.35676099999999877),674,Ame18fieldstation-406,Point,119.941507,-21.356761,,240,78,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.94148900000000424 -21.35681399999999996),675,Ame18fieldstation-408,Point,119.941489,-21.356814,,244,76,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.94148500000000013 -21.35687199999999919),676,Ame18fieldstation-409,Point,119.941485,-21.356872,,194,84,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.94227700000000425 -21.35689400000000049),677,Ame18fieldstation-410,Point,119.942277,-21.356894,,242,83,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.93893599999999822 -21.35565899999999928),684,Ame18fieldstation-418,Point,119.938936,-21.355659,,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301461366062.jpg,,,,,,,,,
Point (119.93895700000000204 -21.35567299999999946),686,Ame18fieldstation-420,Point,119.938957,-21.355673,Fault_that_sinistral_offsets_the_Stripey_chert_by_about_30_m._Trends_074,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301477611529.jpg,,,,,,,,,
Point (119.9392519999999962 -21.35570500000000038),690,Ame18fieldstation-425,Point,119.939252,-21.355705,Fault_that_offsets_chert_member_by_at_least_1.5_m._Interbedded_chert_and_schist_bends_to_further_indicate_sinistral_movement._Slick_engines_present.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301491632867.jpg,15301491362396.jpg,15301491212922.jpg,,,,,,,
Point (119.9392519999999962 -21.35570500000000038),691,Ame18fieldstation-425,Point,119.939252,-21.355705,Fault_that_offsets_chert_member_by_at_least_1.5_m._Interbedded_chert_and_schist_bends_to_further_indicate_sinistral_movement._Slick_engines_present.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301491632867.jpg,15301491362396.jpg,15301491212922.jpg,,,,,,,
Point (119.93991699999999412 -21.35612100000000169),702,Ame18fieldstation-436,Point,119.939917,-21.356121,A_few_tight_fold_hinges.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301545056697.jpg,,,,,,,,,
Point (119.93940899999999772 -21.35625599999999835),713,Ame18fieldstation-447,Point,119.939409,-21.356256,Big_sharp_hinge_of_30_m_scale_fold._Hinge_is_obscured_by_massive_quartz_veining.,0,0,0,0,0,0,0,,,fold,,302,81,298,89,Ame18-219,027 84 overturned.,15301632702401.jpg,15301577841627.jpg,15301577660523.jpg,,,,,,,
Point (119.93940899999999772 -21.35625599999999835),714,Ame18fieldstation-447,Point,119.939409,-21.356256,Big_sharp_hinge_of_30_m_scale_fold._Hinge_is_obscured_by_massive_quartz_veining.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301632702401.jpg,15301577841627.jpg,15301577660523.jpg,,,,,,,
Point (119.93940899999999772 -21.35625599999999835),715,Ame18fieldstation-447,Point,119.939409,-21.356256,Big_sharp_hinge_of_30_m_scale_fold._Hinge_is_obscured_by_massive_quartz_veining.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301632702401.jpg,15301577841627.jpg,15301577660523.jpg,,,,,,,
Point (119.93940000000000623 -21.35628000000000171),716,Ame18fieldstation-448,Point,119.9394,-21.35628,Boudige_of_white_layers_within_banded_Chert.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301582548778.jpg,,,,,,,,,
Point (119.93948299999999563 -21.35642100000000099),719,Ame18fieldstation-451,Point,119.939483,-21.356421,,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301643385759.jpg,,,,,,,,,
Point (119.93950900000000104 -21.35644299999999873),721,Ame18fieldstation-453,Point,119.939509,-21.356443,DextrAl_flexyral_shear_fold.,0,0,0,0,0,0,0,,,fold,,310,83,0,0,,,15301647732937.jpg,,,,,,,,,
Point (119.93969800000000703 -21.35629700000000142),729,Ame18fieldstation-459,Point,119.939698,-21.356297,Sinistral_shear_fold_at_margins_of_big_dextral_fold.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301687877381.jpg,15301687034242.jpg,,,,,,,,
Point (119.93969800000000703 -21.35629700000000142),730,Ame18fieldstation-459,Point,119.939698,-21.356297,Sinistral_shear_fold_at_margins_of_big_dextral_fold.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301687877381.jpg,15301687034242.jpg,,,,,,,,
Point (119.93980200000000025 -21.35579900000000109),738,Ame18fieldstation-466,Point,119.939802,-21.355799,Asymmetric_kink_folds_showing_dextral_shearing.,0,0,0,0,0,0,0,,,fold,z_fold,208,76,68,86,Ame18-221,,15302346459255.jpg,,,,,,,,,
Point (119.93980200000000025 -21.35579900000000109),739,Ame18fieldstation-466,Point,119.939802,-21.355799,Asymmetric_kink_folds_showing_dextral_shearing.,0,0,0,0,0,0,0,,,fold,z_fold,229,80,60,78,,,15302346459255.jpg,,,,,,,,,
Point (119.93966100000000097 -21.35585000000000022),740,Ame18fieldstation-467,Point,119.939661,-21.35585,,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,
Point (119.94011600000000328 -21.35576599999999914),741,Ame18fieldstation-468,Point,119.940116,-21.355766,Chert_bed_with_assummetrical_dextral_folds_at_the_100_m_scale.,0,0,0,0,0,0,0,,,,,0,0,0,0,Ame18-220,109 78,,,,,,,,,,
Point (119.94008700000000545 -21.355792000000001),743,Ame18fieldstation-469,Point,119.940087,-21.355792,Foliation_is_crenulated.,47,80,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15302356410153.jpg,,,,,,,,,
Point (119.93906200000000695 -21.35612799999999822),772,Ame18fieldstation-489,Point,119.939062,-21.356128,Schist_chlorite,273,87,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.93912299999999505 -21.35617399999999932),773,Ame18fieldstation-490,Point,119.939123,-21.356174,Chlorite_schist;_small_distinct_bed_that_you_can_visually_follow_down_the_hill.,223,88,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.93912299999999505 -21.35617399999999932),774,Ame18fieldstation-490,Point,119.939123,-21.356174,Chlorite_schist;_small_distinct_bed_that_you_can_visually_follow_down_the_hill.,174,86,0,0,0,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93918299999999988 -21.35641999999999996),775,Ame18fieldstation-491,Point,119.939183,-21.35642,Hinge_of_fold;_open_fold_of_chlorite_schist_bed.,240,81,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.94102100000000632 -21.3574629999999992),777,Here there be garnets.,Point,119.941021,-21.357463,,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,
Point (119.94366599999999323 -21.35502800000000079),901,Ame18fieldstation-593,Point,119.943666,-21.355028,Chlorite_schist_is_wavy_folded;_very_open;_about_a_vertical_hinge._Crenulation_cleavage.,224,87,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308384640446.jpg,,,,,,,,,
Point (119.94381699999999569 -21.35514699999999877),902,Ame18fieldstation-594,Point,119.943817,-21.355147,Axial_plar_crenulation_cleavage_in_chlorite_schist.,219,84,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308389119176.jpg,15308388930649.jpg,,,,,,,,
Point (119.94357100000000571 -21.35593300000000028),904,Ame18fieldstation-595,Point,119.943571,-21.355933,Crenulation_cleavage_in_chlorite_schist._Mostly_symmetric_folds;_some_sinistral,204,84,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308395984126.jpg,15308395165034.jpg,,,,,,,,
Point (119.94357100000000571 -21.35593300000000028),905,Ame18fieldstation-595,Point,119.943571,-21.355933,Crenulation_cleavage_in_chlorite_schist._Mostly_symmetric_folds;_some_sinistral,198,85,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308395984126.jpg,15308395165034.jpg,,,,,,,,
Point (119.94320600000000354 -21.3562909999999988),907,Ame18fieldstation-597,Point,119.943206,-21.356291,Crenulation_cleavage_in_chlorite_schist.,34,84,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308410318634.jpg,,,,,,,,,
Point (119.94320600000000354 -21.3562909999999988),908,Ame18fieldstation-597,Point,119.943206,-21.356291,Crenulation_cleavage_in_chlorite_schist.,81,79,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,15308410318634.jpg,,,,,,,,,
Point (119.94104699999999752 -21.35748800000000003),911,Ame18fieldstation-600,Point,119.941047,-21.357488,,0,0,0,0,0,0,0,,,,,0,0,0,0,Ame18-244,113 81,,,,,,,,,,
Point (119.94021100000000501 -21.35715599999999981),912,Ame18fieldstation-601,Point,119.940211,-21.357156,Sandy_schist_unit_with_large_porphyroclasts_or_blasts;_3_mm_in_diameter._Displays_assymmrtric_folding._Dextral.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15308440360934.jpg,15308439056471.jpg,,,,,,,,
Point (119.94021100000000501 -21.35715599999999981),913,Ame18fieldstation-601,Point,119.940211,-21.357156,Sandy_schist_unit_with_large_porphyroclasts_or_blasts;_3_mm_in_diameter._Displays_assymmrtric_folding._Dextral.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15308440360934.jpg,15308439056471.jpg,,,,,,,,
Point (119.94020399999999427 -21.35716199999999887),915,Ame18fieldstation-602,Point,119.940204,-21.357162,Interbedded_cherts_and_schists;_at_2_cm_scale.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15308445790790.jpg,15308442367261.jpg,,,,,,,,
Point (119.93940000000000623 -21.35637699999999839),921,Ame18fieldstation-608,Point,119.9394,-21.356377,,246,88,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.93940000000000623 -21.35637699999999839),922,Ame18fieldstation-608,Point,119.9394,-21.356377,,338,84,0,0,0,0,0,foliation,plar_schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.9392610000000019 -21.35636900000000082),923,Ame18fieldstation-609,Point,119.939261,-21.356369,Chlorite_schist_with_very_strong_crenulation_cleavage_cutting_throu_small_scale_folds.,65,88,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308472876706.jpg,,,,,,,,,
Point (119.9392610000000019 -21.35636900000000082),924,Ame18fieldstation-609,Point,119.939261,-21.356369,Chlorite_schist_with_very_strong_crenulation_cleavage_cutting_throu_small_scale_folds.,246,84,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308472876706.jpg,,,,,,,,,
Point (119.93907600000000002 -21.35610199999999992),925,Ame18fieldstation-610,Point,119.939076,-21.356102,Very_strong_crenulation_cleavage—_origil_foliation_is_almost_obliterated.,243,85,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308477211202.jpg,15308477071371.jpg,,,,,,,,
Point (119.93907600000000002 -21.35610199999999992),926,Ame18fieldstation-610,Point,119.939076,-21.356102,Very_strong_crenulation_cleavage—_origil_foliation_is_almost_obliterated.,354,83,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,15308477211202.jpg,15308477071371.jpg,,,,,,,,
Point (119.93897695772000134 -21.35597503328299851),928,Ame18fieldstation-611,Point,119.93897695772,-21.355975033283,Interbedded_cherts_and_schists;_with_dextral_asymmetric_skinks_and_folds._Crenulations.,229,81,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.9390109999999936 -21.35600700000000174),930,Ame18fieldstation-612,Point,119.939011,-21.356007,Hinge_of_an_open_fold.,76,87,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308486648496.jpg,,,,,,,,,
Point (119.93907299999999339 -21.35602499999999893),932,Ame18fieldstation-613,Point,119.939073,-21.356025,Southern_limb_of_open_fold,94,85,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.93891999999999598 -21.35583700000000107),934,Ame18fieldstation-614,Point,119.93892,-21.355837,Felsic_schist_with_small_porphyroclasts;_very_well_crenulated.,204,81,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308493152860.jpg,,,,,,,,,
Point (119.94166099999999631 -21.35694099999999906),1240,AME 18 fieldstation-399,Point,119.941661,-21.356941,Fold/_kink_bands_present,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300651352138.jpg,15300649946174.jpg,15300645511553.jpg,15300638987799.jpg,15300638647717.jpg,,,,,
Point (119.94166099999999631 -21.35694099999999906),1241,AME 18 fieldstation-399,Point,119.941661,-21.356941,Fold/_kink_bands_present,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300651352138.jpg,15300649946174.jpg,15300645511553.jpg,15300638987799.jpg,15300638647717.jpg,,,,,
Point (119.94166099999999631 -21.35694099999999906),1242,AME 18 fieldstation-399,Point,119.941661,-21.356941,Fold/_kink_bands_present,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300651352138.jpg,15300649946174.jpg,15300645511553.jpg,15300638987799.jpg,15300638647717.jpg,,,,,
Point (119.94166099999999631 -21.35694099999999906),1243,AME 18 fieldstation-399,Point,119.941661,-21.356941,Fold/_kink_bands_present,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300651352138.jpg,15300649946174.jpg,15300645511553.jpg,15300638987799.jpg,15300638647717.jpg,,,,,
Point (119.94166099999999631 -21.35694099999999906),1244,AME 18 fieldstation-399,Point,119.941661,-21.356941,Fold/_kink_bands_present,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300651352138.jpg,15300649946174.jpg,15300645511553.jpg,15300638987799.jpg,15300638647717.jpg,,,,,
Point (119.94135799999999392 -21.35664200000000079),1253,AME 18 fieldstation-407,Point,119.941358,-21.356642,Crenellations_clevage,209,84,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.94132199999999955 -21.35664399999999929),1254,AME 18 fieldstation-408,Point,119.941322,-21.356644,,208,85,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
