wkt_geom,field_1,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,rake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
Point (119.93782899999999358 -21.35557899999999876),679,Ame18fieldstation-412,Point,119.937829,-21.355579,,23,78,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15300841228600.jpg,,,,,,,,,
Point (119.93703399999999704 -21.35438100000000006),746,Ame18fieldstation-471,Point,119.937034,-21.354381,,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302398647722.jpg,15302398346585.jpg,,,,,,,,
Point (119.93727499999999964 -21.35482700000000023),749,Ame18fieldstation-473,Point,119.937275,-21.354827,,7,86,0,0,0,0,0,foliation,cleavage,,,0,0,0,0,,,15302405328497.jpg,,,,,,,,,
Point (119.93758499999999856 -21.35518000000000072),751,Ame18fieldstation-475,Point,119.937585,-21.35518,Small_scale_slightly_dextral_fold.,32,88,0,0,0,0,0,foliation,crenulation_cl,fold,z_fold,45,85,66,83,,,15302416817260.jpg,,,,,,,,,
Point (119.93766899999999964 -21.35545400000000171),752,Ame18fieldstation-476,Point,119.937669,-21.355454,Hingeof_the_large_scale_folds_has_lots_of_small_scale_symmetric_folds,0,0,0,0,0,0,0,,,fold,,40,89,43,88,,,15302421972659.jpg,15302420068200.jpg,,,,,,,,
Point (119.93766899999999964 -21.35545400000000171),753,Ame18fieldstation-476,Point,119.937669,-21.355454,Hingeof_the_large_scale_folds_has_lots_of_small_scale_symmetric_folds,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302421972659.jpg,15302420068200.jpg,,,,,,,,
Point (119.9377889999999951 -21.3553929999999994),754,Ame18fieldstation-477,Point,119.937789,-21.355393,,15,89,0,0,0,0,0,foliation,cleavage,,,0,0,0,0,,,,,,,,,,,,
Point (119.93792200000000037 -21.35538100000000128),755,Ame18fieldstation-478,Point,119.937922,-21.355381,Well_developed_crenulation_cleavage.,197,89,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15302429138912.jpg,15302428974355.jpg,,,,,,,,
Point (119.93795400000000484 -21.35537800000000175),757,Ame18fieldstation-479,Point,119.937954,-21.355378,,200,77,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,Ame18-222,H n ; perhaps every slightly slumped.,15302431298537.jpg,,,,,,,,,
Point (119.93819600000000491 -21.35544499999999957),758,Ame18fieldstation-480,Point,119.938196,-21.355445,Symmetrical_crenulations_in_small_scale_symmetric_folds.,20,82,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15302440426209.jpg,,,,,,,,,
Point (119.93783200000000022 -21.35561799999999977),760,Ame18fieldstation-481,Point,119.937832,-21.355618,Finely_interbedded_chert_and_qf_schist.,31,74,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15302449446050.jpg,15302448606332.jpg,,,,,,,,
Point (119.93783200000000022 -21.35561799999999977),761,Ame18fieldstation-481,Point,119.937832,-21.355618,Finely_interbedded_chert_and_qf_schist.,83,78,0,0,0,0,0,bedding,,,,0,0,0,0,,,15302449446050.jpg,15302448606332.jpg,,,,,,,,
Point (119.93694499999999437 -21.35544700000000162),764,Ame18fieldstation-483,Point,119.936945,-21.355447,Cherts_schists,54,88,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15302487447124.jpg,,,,,,,,,
Point (119.93695999999999913 -21.3556430000000006),766,Ame18fieldstation-484,Point,119.93696,-21.355643,,281,83,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15302491222981.jpg,15302489992394.jpg,,,,,,,,
Point (119.93813600000000008 -21.35571799999999953),768,Ame18fieldstation-486,Point,119.938136,-21.355718,Slumped_but_I_place_outcrop_showing_subhorizontal_kink_fold_being_folded_by_the_crenulation._South_up_sense_of_shear.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302501439993.jpg,,,,,,,,,
Point (119.93554600000000221 -21.3560920000000003),938,Ame18fieldstation-618,Point,119.935546,-21.356092,Contact_between_schist_and_undeformed_basalt_dike.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93748499999999524 -21.35498400000000174),1316,AME 18 fieldstation-466,Point,119.937485,-21.354984,,162,88,0,0,0,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93781300000000556 -21.35537700000000072),1318,AME 18 fieldstation-468,Point,119.937813,-21.355377,,197,88,0,0,0,0,0,foliation,cleavage,,,0,0,0,0,,,,,,,,,,,,
Point (119.93779600000000585 -21.3553910000000009),1319,AME 18 fieldstation-469,Point,119.937796,-21.355391,Crenulation_clevage,12,88,0,0,0,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93783700000000181 -21.35540400000000005),1321,AME 18 fieldstation-470,Point,119.937837,-21.355404,,17,87,0,0,0,0,0,foliation,cleavage,,,0,0,0,0,,,,,,,,,,,,
Point (119.93825400000000059 -21.35544000000000153),1323,AME 18 fieldstation-471,Point,119.938254,-21.35544,,11,89,0,0,0,0,0,foliation,cleavage,,,0,0,0,0,,,,,,,,,,,,
Point (119.93812800000000607 -21.35577100000000073),1330,AME 18 fieldstation-478,Point,119.938128,-21.355771,Sub_horizontal_kink_folds_showing_southward_up_sense_of_motion,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302500873016.jpg,,,,,,,,,
Point (119.93829900000000066 -21.35586299999999937),1331,AME 18 fieldstation-479,Point,119.938299,-21.355863,,0,0,0,0,0,0,0,,,,,0,0,0,0,AME 18-223,"061
87 overturned
84",15302507129366.jpg,,,,,,,,,
Point (119.93607099999999832 -21.35622899999999902),1458,AME 18 fieldstation-589,Point,119.936071,-21.356229,Contact_between_unreformed_basalt_and_deformed_Metabasalt_unit,289,74,0,0,0,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93762399999999957 -21.3552199999999992),1875,AME18FieldStation-463,Point,119.937624,-21.35522,Small_scale_folds_in_unit_reflect_deformation_of_overall_fold._Located_in_the_hinge.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302415947501.jpg,15302416081534.jpg,,,,,,,,
Point (119.93762399999999957 -21.3552199999999992),1876,AME18FieldStation-463,Point,119.937624,-21.35522,Small_scale_folds_in_unit_reflect_deformation_of_overall_fold._Located_in_the_hinge.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302415947501.jpg,15302416081534.jpg,,,,,,,,
Point (119.93764699999999834 -21.35535000000000139),1877,AME18FieldStation-464,Point,119.937647,-21.35535,Hinge_of_fold;_area_has_small_scale_folds,101,83,0,0,0,0,0,bedding,,,,0,0,0,0,,,15302419641799.jpg,,,,,,,,,
Point (119.93770499999999402 -21.35538299999999978),1879,AME18FieldStation-465,Point,119.937705,-21.355383,,199,88,0,0,0,0,0,foliation,cleavage,,,0,0,0,0,,,,,,,,,,,,
Point (119.93799199999999416 -21.35537100000000166),1881,AME18FieldStation-466,Point,119.937992,-21.355371,Crenulation_cleavage,191,81,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
