wkt_geom,field_1,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,rake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
Point (119.96703856666999854 -21.37102013333300121),151,Ame18fieldstation-91,Point,119.96703856667,-21.371020133333,Highly_calcified_metabasalt;_sinistral_kink_folds_and_quartz_vein_folded_too.,109,68,0,0,0,0,0,foliation,schistosity,fold,,156,58,162,70,,,15271207589622.jpg,15271210256025.jpg,,,,,,,,
Point (119.96794488333000572 -21.36811356666699879),191,Ame18fieldstation-110,Point,119.96794488333,-21.368113566667,Huge_1_cm_or_larger_garnets_with_quartz_tails_in_a_quartzofeldspathic_schist._Beautiful_shear_sense;_though_hard_to_determine_lineation.,139,83,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,Ame18-53d,,15271457436345.jpg,,,,,,,,,
Point (119.96174399999999594 -21.36164799999999886),622,Ame18fieldstation-371,Point,119.961744,-21.361648,Modules_of_amphibolite_metabasalt;_with_zones_of_curved_schist_layers_separating_them.,154,83,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,15298913049116.jpg,,,,,,,,,
Point (119.96179100000000517 -21.3616090000000014),627,Ame18fieldstation-372,Point,119.961791,-21.361609,4_m_wide_zone_of_strongly_foliated;_partially_carbonitized_basalt._Zones_of_kink_bands;_all_showing_sinistral_motion.,177,65,0,0,0,0,0,foliation,schistosity,fold,s_fold,252,62,0,0,,,15298928085702.jpg,,,,,,,,,
Point (119.96335700000000202 -21.36142800000000008),645,Ame18fieldstation-382,Point,119.963357,-21.361428,Garnet_bearing_felsic_sees_and_amphibolite_in_igneous_contact_with_weakly_foliated_granite.,115,75,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,Ame18-214,H n,15299087009078.jpg,15299086627060.jpg,15299085846436.jpg,,,,,,,
Point (119.96140599999999665 -21.36254299999999873),858,Ame18fieldstation-561,Point,119.961406,-21.362543,Metabasalt,330,74,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,15307501707368.jpg,,,,,,,,,
Point (119.96175800000000322 -21.36167500000000175),1214,AME 18 fieldstation-380,Point,119.961758,-21.361675,Strike_and_dip_of_CS;_basalt_contact_towards_center_of_fold_hinge,154,83,0,0,0,0,0,foliation,plar_schistosity,,,0,0,0,0,,,15298912545531.jpg,,,,,,,,,
Point (119.96333099999999661 -21.36143699999999868),1231,AME 18 fieldstation-393,Point,119.963331,-21.361437,Garnet_unit_popped_up_again;_figured_out_it’s_QFS._Granite_and_Amphibolite__present_less_than_1m_to_NNE,126,76,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,AME 18-214,,15299109450625.jpg,15299087011269.jpg,15299085407219.jpg,,,,,,,
Point (119.97329430000000627 -21.372596810000001),1584,Ame_16_135,Point,119.9732943,-21.37259681,,135,74,0,0,0,0,0,foliation,Mineral elongation,,,0,0,0,0,,,,,,,,,,,,
Point (119.96957399999999438 -21.37623170000000172),1585,Ame_16_132,Point,119.969574,-21.3762317,,159,76,0,0,0,0,0,foliation,Mineral elongation,,,0,0,0,0,,,,,,,,,,,,
