wkt_geom,field_1,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,rake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
Point (119.94409500000000435 -21.34731749999999906),6,15258254930498,Point,119.944095,-21.3473175,,325,80,0,0,0,0,0,foliation,c_plane,,,0,0,0,0,,,15258255603539.jpg,,,,,,,,,
Point (119.94409500000000435 -21.34731749999999906),7,15258254930498,Point,119.944095,-21.3473175,,298,76,0,0,0,0,0,foliation,s_plane,,,0,0,0,0,,,15258255603539.jpg,,,,,,,,,
Point (119.94378942075999817 -21.34722390679799986),8,15258263241889,Point,119.94378942076,-21.347223906798,Finely_spaced_cleavage_s_surfaces;_possibly_garnet_bearing_(_weather_out_pits_at_the_surface.__C_surfaces_spaced_at_about_30_cm._Sampled_for_garnets.,70,85,0,0,0,0,0,foliation,c_plane,,,0,0,0,0,Ame18 002,,15258268757244.jpg,,,,,,,,,
Point (119.9440531666700025 -21.34735426666700064),10,15258273308154,Point,119.94405316667,-21.347354266667,,286,86,0,0,0,0,0,foliation,gneissic_folia,,,0,0,0,0,Ame18 001,Fabric 286 86,,,,,,,,,,
Point (119.9366568166699949 -21.33832833333299916),28,Ame18fieldstation-10,Point,119.93665681667,-21.338328333333,,103,74,0,0,0,0,0,foliation,gneissic_folia,,,0,0,0,0,Ame18-7,122 64 sw,15259089859541.jpg,15259088811365.jpg,,,,,,,,
Point (119.94464118333000613 -21.34901998333300099),53,Ame18fieldstation-27,Point,119.94464118333,-21.349019983333,Felsic_schist;_May_be_garnet_bearing;_or_may_be_felsic_erruptive_rock.,121,81,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,Ame18-11,,,,,,,,,,,
Point (119.9441216333299991 -21.35354625000000084),213,Ame18fieldstation-122,Point,119.94412163333,-21.35354625,Another_garnet_fined;_this_time_as_large_components_of_the_rock_by_percentage._Garnets_show_domintly_normal_shear_sense;_and_have_beautiful_asymmetry._Stratographically_below_metabasalt.,129,83,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,Ame18-57a,131 82,15272161351798.jpg,,,,,,,,,
Point (119.9441216333299991 -21.35354625000000084),214,Ame18fieldstation-122,Point,119.94412163333,-21.35354625,Another_garnet_fined;_this_time_as_large_components_of_the_rock_by_percentage._Garnets_show_domintly_normal_shear_sense;_and_have_beautiful_asymmetry._Stratographically_below_metabasalt.,129,80,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,Ame18-57b,H n,15272161351798.jpg,,,,,,,,,
Point (119.94329399999999453 -21.34806800000000138),582,Ame18fieldstation-340,Point,119.943294,-21.348068,Flexural_shearing_showing_dextral_motion._Quartzofeldspathic_schist_is_foliated_at_a_higher_angle_to_bedding_than_chlorite_schist._Boundary_between_them_has_garnets._Sampled_garnets.,128,82,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,15298086704761.jpg,15298078479855.jpg,,,,,,,,
Point (119.94088399999999695 -21.34636799999999823),588,Ame18fieldstation-343,Point,119.940884,-21.346368,On_top_of_hill_where_we_were_expecting_the_hinge_to_be._Bedding_still_trends_NW_SE,126,82,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
