fieldStation,easting,northing,notes,strike,dip,trend,plunge,foliationType,otherStructure,otherStructureType
Ame18fieldstation-unknown,119.9440558,-21.3473268,,288,89,18,89,mineral_alignm,,
Ame18fieldstation-157,119.8879397,-21.32675462,"Large_outcrop_of_quartzofeldspathic_schist_with_nodules_of_quartz,_weathered_hollow._Maybe_used_to_be_garnet?_Weathered_badly,_not_good_to_sample.",305,85,35,85,schistosity,,
Ame18fieldstation-588,119.955964,-21.354712,Finely_lamited_muscovite_schist._Very_crenulated.,308,75,42,75,schistosity,,
Ame18fieldstation-181,119.9404723,-21.36368263,Chert_bed._Stretching_Lin.,307,76,67,74,gneissic_folia,,
AME18FieldStation-310,119.945722,-21.350852,"Thinly_lamited_quartzofeldspathic_Schist._Fractures_in_rock_appear_perpendicular_to_strike._Some_offset,_appears_dextral.",285,79,80,66,schistosity,,
Ame18fieldstation-168,119.9947036,-21.3897847,Garnet_locality_in_a_biotite_quartzofeldspathic_schist._Small_1_mm_garnets.,291,83,98,61,gneissic_folia,,
Ame18fieldstation-131,119.9461556,-21.34865365,A_possible_garnet_locality.,310,85,108,77,gneissic_folia,,
Ame18fieldstation-321,119.946855,-21.349528,,306,89,119,82,schistosity,,
AME 18 fieldstation-322,119.946661,-21.349474,"Huge_unit,_very_crenulated_in_parts,_subvertical",306,89,119,82,schistosity,,
Ame18fieldstation-623,119.935991,-21.356921,Kink_banding_showed_very_clear_thrust_sense_(_s_up_),64,84,154,84,schistosity,,
AME18FieldStation-543,119.961969,-21.362613,,149,89,158,84,schistosity,,
Ame18fieldstation-161,119.9041752,-21.32256878,"Augean_gneiss_with_clear_assymetery._My_best_guess_is_reverse_sense_of_shear,_though_cuts_parallel_to_the_lineation_are_not_common.",129,60,180,53,gneissic_folia,,
Ame18fieldstation-359,119.937386,-21.344005,Euhadral_magnetite!_Chlorite_schist_with_zones_of_intense_crenulation.,92,71,182,71,schistosity,,
Ame18fieldstation-359,119.937386,-21.344005,Euhadral_magnetite!_Chlorite_schist_with_zones_of_intense_crenulation.,92,61,184,61,schistosity,,
Ame18fieldstation-80,119.967457,-21.3700939,"Quartzofeldspathic_schist,_finely_lamited._Quartz_veins_parallel_to_foliation.",126,76,186,74,schistosity,,
Ame18fieldstation-364,119.961243,-21.362215,"Poorly_foliated_metabasalt,_fine_grained_and_perhaps_chlorite_bearing.",149,85,189,82,schistosity,,
AME 18 fieldstation-373,119.96124,-21.362198,"Chlorite_schist_metabasalt,_small_outcrop,_looks_in_place",149,85,189,82,plar_schistosity,,
AME18FieldStation-357,119.961233,-21.362223,Metabasalt,149,85,189,82,schistosity,,
Ame18fieldstation-357,119.936194,-21.343003,,84,83,190,83,schistosity,,
Ame18fieldstation-71,119.8888641,-21.32398395,Schist_with_porphyroclasts_of_quartz_or_maybe_cordillerite_?,132,75,200,74,gneissic_folia,,
Ame18fieldstation-321,119.946855,-21.349528,,134,83,201,82,schistosity,,
Ame18fieldstation-366,119.961553,-21.361915,Fine_grained_amphibolite_with_a_highly_plane_foliation._Lamited_at_the_1_-_2_cm_scale.,145,75,206,73,schistosity,,
AME 18 fieldstation-375,119.961511,-21.361943,"Finer_grained,_stronger_foliation,_1-2cm_lamition",145,75,206,73,schistosity,,
AME18FieldStation-348,119.935234,-21.343008,Metabasalt,105,64,206,64,schistosity,,
AME18FieldStation-359,119.961528,-21.362017,Fine_grained_magic_amphibolite._1-2_cm_lamitions.__More_foliated,145,75,206,73,schistosity,,
AME 18 fieldstation-370,119.939991,-21.34568,,112,78,207,78,plar_schistosity,,
1.52583E+13,119.9446547,-21.34902258,Me_tased_amphibolite,93,70,210,68,gneissic_folia,,
AME18FieldStation-564,119.956343,-21.354472,,125,75,211,75,schistosity,,
Ame18fieldstation-365,119.96157,-21.362106,"Mafic_amphibolite,_fine_to_medium_grained._Strongly_foliated_with_a_foliation_parallel_cleavage_that_makes_the_rock_break_into_flat_spears._L_tectonite?_Hard_to_tell_because_everything_is_so_mafic._Also_possible_SC_fabric,_showing_dextral_motion._Bedding_v_foliation?",141,74,213,73,schistosity,,
AME 18 fieldstation-374,119.96156,-21.362147,"Magic_medium_grained_amphibolite,_more_deformed_than_southern_spot_due_to_more_foliation_exhibited___(Transact_of_god_yesterday_had_very_deformed_outcrops_at_every_spot,_the_spots_tagged_as_both_amphibolite_and_CS_are_this_unit,_the_magic_medium_grained_amphibolite)",141,74,213,73,schistosity,,
AME18FieldStation-358,119.961534,-21.3621,"Medium_grained_mafic_amphibolite,_more_foliated_than_last_spot.",141,74,213,73,schistosity,,
AME 18 fieldstation-363,119.935132,-21.342689,"Verging_in_amphibolite,_more_felsic_grains_and_clear_lineation_displayed,_this_stoped_when_on_way_down_of_hill_approximately_50m_after_appearing,_became_the_regular_chlorite_schist_again",97,80,214,79,plar_schistosity,,
Ame18fieldstation-146,119.8939799,-21.31875198,Metabasalt,125,88,215,88,gneissic_folia,,
AME 18 fieldstation-362,119.934258,-21.3422,"First_siting_of_different_unit,_stopped_before_river",109,83,215,83,plar_schistosity,,
